# Species	Genes	Alg.-Conn.	Poxalicum_114-2.fasta	Anidulans_FGSC_A4_v.s10-m04-r16.fasta
2	2	1	PDE_00263	AN10117
2	2	1	PDE_00264	AN0714
2	2	1	PDE_00265	AN0715
2	2	1	PDE_00266	AN0716
2	2	1	PDE_00267	AN0717
2	2	1	PDE_00269	AN0751
2	2	1	PDE_00270	AN0752
2	2	1	PDE_00271	AN0753
2	2	1	PDE_00129	AN1020
2	2	1	PDE_00278	AN2037
2	2	1	PDE_00279	AN2663
2	2	1	PDE_00280	AN7799
2	2	1	PDE_00282	AN0756
2	2	1	PDE_00283	AN0757
2	2	1	PDE_00284	AN0747
2	2	1	PDE_00285	AN0746
2	2	1	PDE_00286	AN0745
2	2	1	PDE_00287	AN0736
2	2	1	PDE_00288	AN0762
2	2	1	PDE_00289	AN0763
2	2	1	PDE_00290	AN0767
2	2	1	PDE_00291	AN0766
2	2	1	PDE_00292	AN0764
2	2	1	PDE_00293	AN10119
2	2	1	PDE_00294	AN0770
2	2	1	PDE_00295	AN0771
2	2	1	PDE_00298	AN0773
2	2	1	PDE_00299	AN3889
2	2	1	PDE_00300	AN10120
2	2	1	PDE_00128	AN1019
2	2	1	PDE_00302	AN0774
2	2	1	PDE_00303	AN0775
2	2	1	PDE_00304	AN0776
2	2	1	PDE_00306	AN12472
2	2	1	PDE_00307	AN0777
2	2	1	PDE_00308	AN0778
2	2	1	PDE_00309	AN10155
2	2	1	PDE_00310	AN0779
2	2	1	PDE_00313	AN0780
2	2	1	PDE_00314	AN0781
2	2	1	PDE_00315	AN0782
2	2	1	PDE_00127	AN1018
2	2	1	PDE_00323	AN10660
2	2	1	PDE_00324	AN0783
2	2	1	PDE_00325	AN0784
2	2	1	PDE_00326	AN0785
2	2	1	PDE_00327	AN0786
2	2	1	PDE_00328	AN0794
2	2	1	PDE_00330	AN0796
2	2	1	PDE_00331	AN8485
2	2	1	PDE_00332	AN0797
2	2	1	PDE_00333	AN0787
2	2	1	PDE_00334	AN3987
2	2	1	PDE_00335	AN0802
2	2	1	PDE_00336	AN0803
2	2	1	PDE_00337	AN0804
2	2	1	PDE_00339	AN10456
2	2	1	PDE_00340	AN1120
2	2	1	PDE_00341	AN1119
2	2	1	PDE_00343	AN1118
2	2	1	PDE_00344	AN1117
2	2	1	PDE_00345	AN1116
2	2	1	PDE_00347	AN1115
2	2	1	PDE_00349	AN1114
2	2	1	PDE_00126	AN1017
2	2	1	PDE_00352	AN8089
2	2	1	PDE_00354	AN8088
2	2	1	PDE_00357	AN0995
2	2	1	PDE_00358	AN0996
2	2	1	PDE_00359	AN0997
2	2	1	PDE_00361	AN0998
2	2	1	PDE_00362	AN0999
2	2	1	PDE_00363	AN1001
2	2	1	PDE_00364	AN1000
2	2	1	PDE_00365	AN1002
2	2	1	PDE_00366	AN1003
2	2	1	PDE_00367	AN1004
2	2	1	PDE_00368	AN1005
2	2	1	PDE_00369	AN1006
2	2	1	PDE_00370	AN1007
2	2	1	PDE_00371	AN1008
2	2	1	PDE_00372	AN1009
2	2	1	PDE_00374	AN1013
2	2	1	PDE_00375	AN1012
2	2	1	PDE_00376	AN1011
2	2	1	PDE_00377	AN1010
2	2	1	PDE_00378	AN10140
2	2	1	PDE_00385	AN0948
2	2	1	PDE_00389	AN0947
2	2	1	PDE_00390	AN0946
2	2	1	PDE_00391	AN10129
2	2	1	PDE_00393	AN10134
2	2	1	PDE_00394	AN10160
2	2	1	PDE_00395	AN10135
2	2	1	PDE_00396	AN0944
2	2	1	PDE_00397	AN0943
2	2	1	PDE_00398	AN0942
2	2	1	PDE_00400	AN0941
2	2	1	PDE_00401	AN0933
2	2	1	PDE_00402	AN0934
2	2	1	PDE_00403	AN0936
2	2	1	PDE_00404	AN0840
2	2	1	PDE_00405	AN0842
2	2	1	PDE_00406	AN0843
2	2	1	PDE_00407	AN0844
2	2	1	PDE_00408	AN0846
2	2	1	PDE_00409	AN10259
2	2	1	PDE_00412	AN0847
2	2	1	PDE_00415	AN0848
2	2	1	PDE_00416	AN0849
2	2	1	PDE_00417	AN0850
2	2	1	PDE_00418	AN0851
2	2	1	PDE_00419	AN0854
2	2	1	PDE_00420	AN0855
2	2	1	PDE_00421	AN0856
2	2	1	PDE_00422	AN0857
2	2	1	PDE_00424	AN0858
2	2	1	PDE_00426	AN0860
2	2	1	PDE_00427	AN0861
2	2	1	PDE_00428	AN0862
2	2	1	PDE_00429	AN0866
2	2	1	PDE_00430	AN0865
2	2	1	PDE_00431	AN0864
2	2	1	PDE_00436	AN0863
2	2	1	PDE_00439	AN0868
2	2	1	PDE_00440	AN0867
2	2	1	PDE_00444	AN0870
2	2	1	PDE_00445	AN8900
2	2	1	PDE_00446	AN0874
2	2	1	PDE_00448	AN0875
2	2	1	PDE_00449	AN0876
2	2	1	PDE_00451	AN10128
2	2	1	PDE_00452	AN10133
2	2	1	PDE_00125	AN1016
2	2	1	PDE_00454	AN0885
2	2	1	PDE_00455	AN0057
2	2	1	PDE_00456	AN0884
2	2	1	PDE_00457	AN0883
2	2	1	PDE_00459	AN0881
2	2	1	PDE_00460	AN0880
2	2	1	PDE_00461	AN0879
2	2	1	PDE_00462	AN0871
2	2	1	PDE_00463	AN0872
2	2	1	PDE_00464	AN0873
2	2	1	PDE_00465	AN0888
2	2	1	PDE_00466	AN0889
2	2	1	PDE_00469	AN0890
2	2	1	PDE_00471	AN0891
2	2	1	PDE_00472	AN0892
2	2	1	PDE_00473	AN0893
2	2	1	PDE_00474	AN0894
2	2	1	PDE_00475	AN9315
2	2	1	PDE_00476	AN0895
2	2	1	PDE_00477	AN0896
2	2	1	PDE_00478	AN0897
2	2	1	PDE_00479	AN10132
2	2	1	PDE_00480	AN0898
2	2	1	PDE_00486	AN0902
2	2	1	PDE_00487	AN0903
2	2	1	PDE_00488	AN0904
2	2	1	PDE_00489	AN0905
2	2	1	PDE_00490	AN0906
2	2	1	PDE_00491	AN0907
2	2	1	PDE_00492	AN0908
2	2	1	PDE_00493	AN0909
2	2	1	PDE_00494	AN0910
2	2	1	PDE_00495	AN1821
2	2	1	PDE_00497	AN0930
2	2	1	PDE_00502	AN7040
2	2	1	PDE_00503	AN8086
2	2	1	PDE_00505	AN0929
2	2	1	PDE_00506	AN0927
2	2	1	PDE_00510	AN0928
2	2	1	PDE_00515	AN0926
2	2	1	PDE_00516	AN0925
2	2	1	PDE_00517	AN0924
2	2	1	PDE_00519	AN0923
2	2	1	PDE_00520	AN0922
2	2	1	PDE_00522	AN0920
2	2	1	PDE_00523	AN0919
2	2	1	PDE_00525	AN0918
2	2	1	PDE_00526	AN0917
2	2	1	PDE_00527	AN0914
2	2	1	PDE_00529	AN0913
2	2	1	PDE_00531	AN0835
2	2	1	PDE_00532	AN0834
2	2	1	PDE_00533	AN0833
2	2	1	PDE_00534	AN0832
2	2	1	PDE_00535	AN0831
2	2	1	PDE_00536	AN0829
2	2	1	PDE_00537	AN0824
2	2	1	PDE_00538	AN0825
2	2	1	PDE_00539	AN0827
2	2	1	PDE_00540	AN0828
2	2	1	PDE_00541	AN0911
2	2	1	PDE_00542	AN0912
2	2	1	PDE_00543	AN0836
2	2	1	PDE_00544	AN0837
2	2	1	PDE_00545	AN12112
2	2	1	PDE_00546	AN10125
2	2	1	PDE_00548	AN0937
2	2	1	PDE_00550	AN0938
2	2	1	PDE_00551	AN0939
2	2	1	PDE_00552	AN0940
2	2	1	PDE_00554	AN0932
2	2	1	PDE_00558	AN1794
2	2	1	PDE_00559	AN0931
2	2	1	PDE_00561	AN10997
2	2	1	PDE_00562	AN10976
2	2	1	PDE_00563	AN7633
2	2	1	PDE_00564	AN0822
2	2	1	PDE_00566	AN0823
2	2	1	PDE_00567	AN0818
2	2	1	PDE_00568	AN0819
2	2	1	PDE_00569	AN0821
2	2	1	PDE_00571	AN12111
2	2	1	PDE_00574	AN0817
2	2	1	PDE_00576	AN0816
2	2	1	PDE_00577	AN0814
2	2	1	PDE_00578	AN0813
2	2	1	PDE_00579	AN10124
2	2	1	PDE_00580	AN0810
2	2	1	PDE_00581	AN0808
2	2	1	PDE_00582	AN0809
2	2	1	PDE_00583	AN0806
2	2	1	PDE_00584	AN0807
2	2	1	PDE_00585	AN3755
2	2	1	PDE_00586	AN3756
2	2	1	PDE_00587	AN3757
2	2	1	PDE_00588	AN3761
2	2	1	PDE_00589	AN3760
2	2	1	PDE_00590	AN3759
2	2	1	PDE_00591	AN3764
2	2	1	PDE_00122	AN1015
2	2	1	PDE_00594	AN2675
2	2	1	PDE_00595	AN10444
2	2	1	PDE_00597	AN10457
2	2	1	PDE_00599	AN3765
2	2	1	PDE_00600	AN6472
2	2	1	PDE_00602	AN8523
2	2	1	PDE_00603	AN12291
2	2	1	PDE_00604	AN8534
2	2	1	PDE_00607	AN2814
2	2	1	PDE_00608	AN1147
2	2	1	PDE_00609	AN10292
2	2	1	PDE_00611	AN7667
2	2	1	PDE_00613	AN1154
2	2	1	PDE_00614	AN1156
2	2	1	PDE_00615	AN10150
2	2	1	PDE_00616	AN1157
2	2	1	PDE_00619	AN1158
2	2	1	PDE_00620	AN1159
2	2	1	PDE_00622	AN1161
2	2	1	PDE_00623	AN1162
2	2	1	PDE_00624	AN1163
2	2	1	PDE_00626	AN1164
2	2	1	PDE_00627	AN1165
2	2	1	PDE_00629	AN1166
2	2	1	PDE_00631	AN1167
2	2	1	PDE_00632	AN1168
2	2	1	PDE_00633	AN1169
2	2	1	PDE_00634	AN1170
2	2	1	PDE_00635	AN1171
2	2	1	PDE_00637	AN4228
2	2	1	PDE_00120	AN1014
2	2	1	PDE_00640	AN8444
2	2	1	PDE_00642	AN12307
2	2	1	PDE_00643	AN1037
2	2	1	PDE_00645	AN1038
2	2	1	PDE_00646	AN1586
2	2	1	PDE_00647	AN8606
2	2	1	PDE_00648	AN10145
2	2	1	PDE_00650	AN1052
2	2	1	PDE_00652	AN6804
2	2	1	PDE_00658	AN1054
2	2	1	PDE_00659	AN1055
2	2	1	PDE_00660	AN1056
2	2	1	PDE_00661	AN1057
2	2	1	PDE_00663	AN1058
2	2	1	PDE_00666	AN1059
2	2	1	PDE_00668	AN1193
2	2	1	PDE_00669	AN1192
2	2	1	PDE_00670	AN1191
2	2	1	PDE_00672	AN1190
2	2	1	PDE_00673	AN1189
2	2	1	PDE_00674	AN7140
2	2	1	PDE_00675	AN1186
2	2	1	PDE_00676	AN1187
2	2	1	PDE_00677	AN1182
2	2	1	PDE_00678	AN1188
2	2	1	PDE_00679	AN1181
2	2	1	PDE_00680	AN10153
2	2	1	PDE_00681	AN1179
2	2	1	PDE_00682	AN1178
2	2	1	PDE_00683	AN1177
2	2	1	PDE_00684	AN1176
2	2	1	PDE_00685	AN1175
2	2	1	PDE_00686	AN1174
2	2	1	PDE_00687	AN1173
2	2	1	PDE_00688	AN1172
2	2	1	PDE_00691	AN2584
2	2	1	PDE_00692	AN1039
2	2	1	PDE_00694	AN11160
2	2	1	PDE_00118	AN7419
2	2	1	PDE_00699	AN10139
2	2	1	PDE_00700	AN11290
2	2	1	PDE_00701	AN1045
2	2	1	PDE_00702	AN1046
2	2	1	PDE_00703	AN1047
2	2	1	PDE_00704	AN1048
2	2	1	PDE_00705	AN1049
2	2	1	PDE_00706	AN1050
2	2	1	PDE_00707	AN1027
2	2	1	PDE_00708	AN1026
2	2	1	PDE_00710	AN1066
2	2	1	PDE_00711	AN1065
2	2	1	PDE_00712	AN10159
2	2	1	PDE_00713	AN1064
2	2	1	PDE_00714	AN1063
2	2	1	PDE_00715	AN1062
2	2	1	PDE_00716	AN1061
2	2	1	PDE_00717	AN1060
2	2	1	PDE_00718	AN10158
2	2	1	PDE_00720	AN10146
2	2	1	PDE_00721	AN1085
2	2	1	PDE_00723	AN1084
2	2	1	PDE_00724	AN1083
2	2	1	PDE_00725	AN1082
2	2	1	PDE_00115	AN7644
2	2	1	PDE_00728	AN1081
2	2	1	PDE_00729	AN1079
2	2	1	PDE_00730	AN10163
2	2	1	PDE_00731	AN1076
2	2	1	PDE_00732	AN1075
2	2	1	PDE_00733	AN1074
2	2	1	PDE_00734	AN10161
2	2	1	PDE_00735	AN1068
2	2	1	PDE_00736	AN1069
2	2	1	PDE_00741	AN11841
2	2	1	PDE_00743	AN1089
2	2	1	PDE_00745	AN1090
2	2	1	PDE_00746	AN10164
2	2	1	PDE_00747	AN10157
2	2	1	PDE_00748	AN1092
2	2	1	PDE_00749	AN1093
2	2	1	PDE_00750	AN5539
2	2	1	PDE_00751	AN1094
2	2	1	PDE_00753	AN8347
2	2	1	PDE_00756	AN1096
2	2	1	PDE_00757	AN1095
2	2	1	PDE_00758	AN1097
2	2	1	PDE_00759	AN1099
2	2	1	PDE_00760	AN10165
2	2	1	PDE_00761	AN10166
2	2	1	PDE_00765	AN1102
2	2	1	PDE_00766	AN1103
2	2	1	PDE_00767	AN1104
2	2	1	PDE_00768	AN1105
2	2	1	PDE_00769	AN1106
2	2	1	PDE_00771	AN1109
2	2	1	PDE_00772	AN1112
2	2	1	PDE_00774	AN10167
2	2	1	PDE_00776	AN1128
2	2	1	PDE_00777	AN1126
2	2	1	PDE_00778	AN1124
2	2	1	PDE_00779	AN11810
2	2	1	PDE_00780	AN1122
2	2	1	PDE_00781	AN1121
2	2	1	PDE_00782	AN10442
2	2	1	PDE_00783	AN3753
2	2	1	PDE_00785	AN3752
2	2	1	PDE_00787	AN6817
2	2	1	PDE_00797	AN11080
2	2	1	PDE_00798	AN4608
2	2	1	PDE_00799	AN1548
2	2	1	PDE_00804	AN1600
2	2	1	PDE_00815	AN3751
2	2	1	PDE_00816	AN3748
2	2	1	PDE_00817	AN6632
2	2	1	PDE_00818	AN3749
2	2	1	PDE_00819	AN3750
2	2	1	PDE_00820	AN3747
2	2	1	PDE_00823	AN3746
2	2	1	PDE_00824	AN3745
2	2	1	PDE_00825	AN3744
2	2	1	PDE_00826	AN5673
2	2	1	PDE_00827	AN3740
2	2	1	PDE_00828	AN3345
2	2	1	PDE_00831	AN7780
2	2	1	PDE_00833	AN3741
2	2	1	PDE_00836	AN3742
2	2	1	PDE_00838	AN3743
2	2	1	PDE_00840	AN1616
2	2	1	PDE_00841	AN5676
2	2	1	PDE_00842	AN5675
2	2	1	PDE_00843	AN5674
2	2	1	PDE_00844	AN5677
2	2	1	PDE_00845	AN5678
2	2	1	PDE_00848	AN5679
2	2	1	PDE_00850	AN5681
2	2	1	PDE_00851	AN5682
2	2	1	PDE_00852	AN5683
2	2	1	PDE_00853	AN5684
2	2	1	PDE_00854	AN5685
2	2	1	PDE_00855	AN5686
2	2	1	PDE_00856	AN5687
2	2	1	PDE_00857	AN5688
2	2	1	PDE_00858	AN5691
2	2	1	PDE_00859	AN5692
2	2	1	PDE_00860	AN5693
2	2	1	PDE_00861	AN7621
2	2	1	PDE_00862	AN5694
2	2	1	PDE_00864	AN10702
2	2	1	PDE_00865	AN11788
2	2	1	PDE_00866	AN10713
2	2	1	PDE_00867	AN5698
2	2	1	PDE_00868	AN8058
2	2	1	PDE_00873	AN5701
2	2	1	PDE_00874	AN4253
2	2	1	PDE_00875	AN4254
2	2	1	PDE_00877	AN6552
2	2	1	PDE_00878	AN4255
2	2	1	PDE_00879	AN4257
2	2	1	PDE_00880	AN7521
2	2	1	PDE_00881	AN9168
2	2	1	PDE_00884	AN4258
2	2	1	PDE_00885	AN4259
2	2	1	PDE_00886	AN4260
2	2	1	PDE_00888	AN4261
2	2	1	PDE_00889	AN10534
2	2	1	PDE_00891	AN10533
2	2	1	PDE_00892	AN2188
2	2	1	PDE_00894	AN2193
2	2	1	PDE_00895	AN4263
2	2	1	PDE_00897	AN4264
2	2	1	PDE_00898	AN4265
2	2	1	PDE_00899	AN4266
2	2	1	PDE_00901	AN4270
2	2	1	PDE_00902	AN4269
2	2	1	PDE_00903	AN4267
2	2	1	PDE_00905	AN1459
2	2	1	PDE_00908	AN3537
2	2	1	PDE_00909	AN3897
2	2	1	PDE_00910	AN3536
2	2	1	PDE_00912	AN1458
2	2	1	PDE_00913	AN1457
2	2	1	PDE_00914	AN1454
2	2	1	PDE_00915	AN11303
2	2	1	PDE_00916	AN10208
2	2	1	PDE_00917	AN1455
2	2	1	PDE_00918	AN11304
2	2	1	PDE_00919	AN1456
2	2	1	PDE_00920	AN1453
2	2	1	PDE_00921	AN1452
2	2	1	PDE_00922	AN1451
2	2	1	PDE_00923	AN1450
2	2	1	PDE_00926	AN1448
2	2	1	PDE_00927	AN1447
2	2	1	PDE_00928	AN1446
2	2	1	PDE_00930	AN11031
2	2	1	PDE_00931	AN9194
2	2	1	PDE_00932	AN8615
2	2	1	PDE_00934	AN1445
2	2	1	PDE_00935	AN1444
2	2	1	PDE_00936	AN1443
2	2	1	PDE_00937	AN1437
2	2	1	PDE_00938	AN1438
2	2	1	PDE_00939	AN1439
2	2	1	PDE_00941	AN10191
2	2	1	PDE_00942	AN1442
2	2	1	PDE_00943	AN1436
2	2	1	PDE_00944	AN1435
2	2	1	PDE_00945	AN12056
2	2	1	PDE_00946	AN1434
2	2	1	PDE_00949	AN1433
2	2	1	PDE_00950	AN1432
2	2	1	PDE_00953	AN1421
2	2	1	PDE_00954	AN1420
2	2	1	PDE_00955	AN1423
2	2	1	PDE_00956	AN1424
2	2	1	PDE_00959	AN1425
2	2	1	PDE_00963	AN1426
2	2	1	PDE_00964	AN1427
2	2	1	PDE_00965	AN1428
2	2	1	PDE_00966	AN1429
2	2	1	PDE_00968	AN1430
2	2	1	PDE_00969	AN1418
2	2	1	PDE_00970	AN1416
2	2	1	PDE_00973	AN1414
2	2	1	PDE_00974	AN1413
2	2	1	PDE_00975	AN1412
2	2	1	PDE_00976	AN1411
2	2	1	PDE_00977	AN10190
2	2	1	PDE_00978	AN10203
2	2	1	PDE_00979	AN1409
2	2	1	PDE_00980	AN1408
2	2	1	PDE_00981	AN1407
2	2	1	PDE_00983	AN1406
2	2	1	PDE_00984	AN10206
2	2	1	PDE_00985	AN1405
2	2	1	PDE_00986	AN10205
2	2	1	PDE_00987	AN12473
2	2	1	PDE_00989	AN9424
2	2	1	PDE_00991	AN9423
2	2	1	PDE_00992	AN9422
2	2	1	PDE_00993	AN9421
2	2	1	PDE_00994	AN9420
2	2	1	PDE_00995	AN9419
2	2	1	PDE_01002	AN9531
2	2	1	PDE_01003	AN10823
2	2	1	PDE_01004	AN10828
2	2	1	PDE_01005	AN6501
2	2	1	PDE_01006	AN10827
2	2	1	PDE_01007	AN6500
2	2	1	PDE_01008	AN6499
2	2	1	PDE_01009	AN10826
2	2	1	PDE_01010	AN10822
2	2	1	PDE_01011	AN6497
2	2	1	PDE_01012	AN6496
2	2	1	PDE_01013	AN6495
2	2	1	PDE_01015	AN6493
2	2	1	PDE_01016	AN6492
2	2	1	PDE_01017	AN6491
2	2	1	PDE_01018	AN6490
2	2	1	PDE_01019	AN6489
2	2	1	PDE_01020	AN6488
2	2	1	PDE_01021	AN6487
2	2	1	PDE_01022	AN10829
2	2	1	PDE_01023	AN6506
2	2	1	PDE_01024	AN6505
2	2	1	PDE_01025	AN6503
2	2	1	PDE_01026	AN6507
2	2	1	PDE_01027	AN10832
2	2	1	PDE_01028	AN12121
2	2	1	PDE_01029	AN10824
2	2	1	PDE_01030	AN6510
2	2	1	PDE_01031	AN6508
2	2	1	PDE_01034	AN6512
2	2	1	PDE_01035	AN6513
2	2	1	PDE_01036	AN6514
2	2	1	PDE_01037	AN6515
2	2	1	PDE_01039	AN6517
2	2	1	PDE_01040	AN3835
2	2	1	PDE_01041	AN3837
2	2	1	PDE_01042	AN3836
2	2	1	PDE_01043	AN10825
2	2	1	PDE_01044	AN6520
2	2	1	PDE_01045	AN10298
2	2	1	PDE_01046	AN6521
2	2	1	PDE_01048	AN6550
2	2	1	PDE_01049	AN6551
2	2	1	PDE_01050	AN6533
2	2	1	PDE_01051	AN6532
2	2	1	PDE_01052	AN6531
2	2	1	PDE_01053	AN6530
2	2	1	PDE_01054	AN6529
2	2	1	PDE_01056	AN6528
2	2	1	PDE_01057	AN8384
2	2	1	PDE_01058	AN9152
2	2	1	PDE_01059	AN6526
2	2	1	PDE_01061	AN6527
