# Species	Genes	Alg.-Conn.	Poxalicum_114-2.fasta	Scerevisiae_S288C.fasta
2	2	1	PDE_09719	YDL226C
2	2	1	PDE_00542	YCL018W
2	2	1	PDE_04865	YDL230W
2	2	1	PDE_03523	YDL234C
2	2	1	PDE_04504	YDL236W
2	2	1	PDE_02075	YCL017C
2	2	1	PDE_04410	YDL238C
2	2	1	PDE_06537	YDL240W
2	2	1	PDE_03644	YCL009C
2	2	1	PDE_03132	YCL005W-A
2	2	1	PDE_07456	YDR002W
2	2	1	PDE_00648	YDR004W
2	2	1	PDE_04657	YDR005C
2	2	1	PDE_08498	YDR013W
2	2	1	PDE_07356	YDR017C
2	2	1	PDE_07217	YDR019C
2	2	1	PDE_09906	YDR021W
2	2	1	PDE_02325	YDR023W
2	2	1	PDE_04533	YDR035W
2	2	1	PDE_07394	YDR036C
2	2	1	PDE_08887	YDR037W
2	2	1	PDE_09339	YCL004W
2	2	1	PDE_01019	YDR041W
2	2	1	PDE_02372	YDR044W
2	2	1	PDE_02595	YDR045C
2	2	1	PDE_02973	YDR047W
2	2	1	PDE_09578	YDR049W
2	2	1	PDE_07330	YDR050C
2	2	1	PDE_04693	YDR051C
2	2	1	PDE_09393	YDR054C
2	2	1	PDE_05910	YDR058C
2	2	1	PDE_07219	YDR060W
2	2	1	PDE_07965	YDR061W
2	2	1	PDE_00765	YDR062W
2	2	1	PDE_07579	YDR063W
2	2	1	PDE_09174	YDR064W
2	2	1	PDE_03135	YDR071C
2	2	1	PDE_01521	YDR074W
2	2	1	PDE_07493	YDR075W
2	2	1	PDE_02096	YDR079C-A
2	2	1	PDE_03558	YDR079W
2	2	1	PDE_08349	YDR084C
2	2	1	PDE_01810	YDR086C
2	2	1	PDE_01823	YDR088C
2	2	1	PDE_09631	YDR090C
2	2	1	PDE_07151	YDR091C
2	2	1	PDE_03384	YDR092W
2	2	1	PDE_03906	YCL001W
2	2	1	PDE_05591	YDR097C
2	2	1	PDE_05421	YBR293W
2	2	1	PDE_01497	YBR291C
2	2	1	PDE_07591	YDR100W
2	2	1	PDE_02021	YDR104C
2	2	1	PDE_08665	YDR105C
2	2	1	PDE_05792	YDR109C
2	2	1	PDE_09511	YDR116C
2	2	1	PDE_00699	YDR117C
2	2	1	PDE_01449	YDR120C
2	2	1	PDE_00635	YDR122W
2	2	1	PDE_00223	YDR127W
2	2	1	PDE_03383	YDR128W
2	2	1	PDE_04052	YDR129C
2	2	1	PDE_00028	YDR132C
2	2	1	PDE_09579	YDR135C
2	2	1	PDE_08268	YBR290W
2	2	1	PDE_08854	YDR140W
2	2	1	PDE_08842	YDR141C
2	2	1	PDE_00460	YDR142C
2	2	1	PDE_01492	YDR148C
2	2	1	PDE_08533	YDR152W
2	2	1	PDE_00497	YBR287W
2	2	1	PDE_01818	YDR158W
2	2	1	PDE_08532	YDR161W
2	2	1	PDE_07308	YDR164C
2	2	1	PDE_07547	YDR167W
2	2	1	PDE_02480	YDR168W
2	2	1	PDE_02154	YDR170C
2	2	1	PDE_08824	YDR172W
2	2	1	PDE_07549	YDR173C
2	2	1	PDE_02909	YDR176W
2	2	1	PDE_09706	YDR177W
2	2	1	PDE_06398	YDR182W
2	2	1	PDE_02292	YDR183W
2	2	1	PDE_04971	YDR188W
2	2	1	PDE_02014	YDR189W
2	2	1	PDE_06712	YDR190C
2	2	1	PDE_07191	YDR191W
2	2	1	PDE_09945	YDR196C
2	2	1	PDE_01589	YDR204W
2	2	1	PDE_08233	YDR211W
2	2	1	PDE_07735	YDR212W
2	2	1	PDE_08477	YDR214W
2	2	1	PDE_02367	YDR226W
2	2	1	PDE_09296	YDR232W
2	2	1	PDE_01046	YDR234W
2	2	1	PDE_05478	YDR235W
2	2	1	PDE_03609	YDR236C
2	2	1	PDE_09351	YDR237W
2	2	1	PDE_00683	YDR238C
2	2	1	PDE_02146	YBR286W
2	2	1	PDE_05479	YDR243C
2	2	1	PDE_06485	YDR244W
2	2	1	PDE_06361	YDR245W
2	2	1	PDE_06541	YDR246W
2	2	1	PDE_04731	YDR247W
2	2	1	PDE_08538	YDR248C
2	2	1	PDE_09051	YBR281C
2	2	1	PDE_01161	YDR257C
2	2	1	PDE_00624	YDR258C
2	2	1	PDE_04071	YDR264C
2	2	1	PDE_00850	YDR265W
2	2	1	PDE_06815	YDR267C
2	2	1	PDE_01020	YDR268W
2	2	1	PDE_08606	YDR270W
2	2	1	PDE_04388	YDR272W
2	2	1	PDE_04831	YDR276C
2	2	1	PDE_04370	YDR280W
2	2	1	PDE_04892	YDR282C
2	2	1	PDE_09306	YDR283C
2	2	1	PDE_03270	YDR284C
2	2	1	PDE_04221	YDR286C
2	2	1	PDE_01457	YDR287W
2	2	1	PDE_03858	YDR291W
2	2	1	PDE_03514	YDR292C
2	2	1	PDE_00619	YDR293C
2	2	1	PDE_03915	YDR294C
2	2	1	PDE_00054	YDR297W
2	2	1	PDE_03234	YDR298C
2	2	1	PDE_04035	YDR300C
2	2	1	PDE_03158	YDR305C
2	2	1	PDE_08671	YDR308C
2	2	1	PDE_08577	YDR311W
2	2	1	PDE_07523	YBR276C
2	2	1	PDE_01305	YDR320C-A
2	2	1	PDE_07396	YDR322W
2	2	1	PDE_02018	YDR323C
2	2	1	PDE_05361	YDR324C
2	2	1	PDE_09925	YDR325W
2	2	1	PDE_02249	YDR328C
2	2	1	PDE_00842	YDR330W
2	2	1	PDE_00462	YDR331W
2	2	1	PDE_09256	YDR332W
2	2	1	PDE_08172	YDR336W
2	2	1	PDE_08152	YBR274W
2	2	1	PDE_01463	YDR339C
2	2	1	PDE_06679	YDR341C
2	2	1	PDE_00393	YBR271W
2	2	1	PDE_07513	YDR346C
2	2	1	PDE_03240	YBR269C
2	2	1	PDE_00627	YBR265W
2	2	1	PDE_07384	YDR361C
2	2	1	PDE_07160	YDR363W-A
2	2	1	PDE_05425	YDR364C
2	2	1	PDE_06942	YDR365C
2	2	1	PDE_04090	YBR263W
2	2	1	PDE_06748	YBR261C
2	2	1	PDE_02666	YDR372C
2	2	1	PDE_08057	YDR373W
2	2	1	PDE_05068	YDR375C
2	2	1	PDE_03254	YDR376W
2	2	1	PDE_06934	YDR377W
2	2	1	PDE_02486	YDR378C
2	2	1	PDE_07628	YDR381W
2	2	1	PDE_03779	YDR382W
2	2	1	PDE_01600	YBR260C
2	2	1	PDE_05052	YDR386W
2	2	1	PDE_02076	YDR388W
2	2	1	PDE_07906	YDR390C
2	2	1	PDE_00261	YDR392W
2	2	1	PDE_04764	YDR394W
2	2	1	PDE_01398	YDR397C
2	2	1	PDE_02768	YDR400W
2	2	1	PDE_05980	YDR402C
2	2	1	PDE_01193	YDR403W
2	2	1	PDE_06478	YDR404C
2	2	1	PDE_07574	YBR257W
2	2	1	PDE_03862	YDR408C
2	2	1	PDE_04172	YDR410C
2	2	1	PDE_00851	YDR414C
2	2	1	PDE_05727	YDR415C
2	2	1	PDE_02608	YBR256C
2	2	1	PDE_09370	YDR419W
2	2	1	PDE_02935	YDR424C
2	2	1	PDE_08212	YDR427W
2	2	1	PDE_03752	YDR429C
2	2	1	PDE_05628	YDR430C
2	2	1	PDE_07484	YDR440W
2	2	1	PDE_04421	YBR254C
2	2	1	PDE_03026	YBR252W
2	2	1	PDE_03825	YDR448W
2	2	1	PDE_04997	YDR449C
2	2	1	PDE_00873	YBR249C
2	2	1	PDE_04405	YDR452W
2	2	1	PDE_06827	YDR454C
2	2	1	PDE_09322	YDR456W
2	2	1	PDE_06705	YDR457W
2	2	1	PDE_05512	YDR460W
2	2	1	PDE_04339	YDR465C
2	2	1	PDE_06226	YBR248C
2	2	1	PDE_07404	YDR472W
2	2	1	PDE_02007	YDR477W
2	2	1	PDE_04647	YDR479C
2	2	1	PDE_05262	YDR481C
2	2	1	PDE_02850	YDR484W
2	2	1	PDE_08409	YDR486C
2	2	1	PDE_08160	YDR487C
2	2	1	PDE_01366	YDR493W
