# Species	Genes	Alg.-Conn.	Poxalicum_114-2.fasta	Ncrassa_OR74A_v.12.fasta
2	2	1	PDE_01999	NCU00560
2	2	1	PDE_01575	NCU00562
2	2	1	PDE_04940	NCU00563
2	2	1	PDE_04939	NCU00564
2	2	1	PDE_02001	NCU00565
2	2	1	PDE_03459	NCU00566
2	2	1	PDE_03458	NCU00567
2	2	1	PDE_03358	NCU00568
2	2	1	PDE_02050	NCU00569
2	2	1	PDE_02595	NCU00570
2	2	1	PDE_02594	NCU00571
2	2	1	PDE_00429	NCU00573
2	2	1	PDE_03370	NCU00575
2	2	1	PDE_03362	NCU00577
2	2	1	PDE_03357	NCU00578
2	2	1	PDE_05838	NCU00579
2	2	1	PDE_00439	NCU00580
2	2	1	PDE_04205	NCU00581
2	2	1	PDE_03374	NCU00584
2	2	1	PDE_08071	NCU00585
2	2	1	PDE_05414	NCU00586
2	2	1	PDE_00559	NCU00587
2	2	1	PDE_00497	NCU00589
2	2	1	PDE_01837	NCU00590
2	2	1	PDE_09769	NCU00591
2	2	1	PDE_01840	NCU00593
2	2	1	PDE_01844	NCU00595
2	2	1	PDE_01838	NCU00596
2	2	1	PDE_05416	NCU00599
2	2	1	PDE_01839	NCU00600
2	2	1	PDE_01828	NCU00602
2	2	1	PDE_09665	NCU00604
2	2	1	PDE_09809	NCU00605
2	2	1	PDE_04641	NCU00606
2	2	1	PDE_09824	NCU00608
2	2	1	PDE_09812	NCU00609
2	2	1	PDE_09605	NCU00611
2	2	1	PDE_09405	NCU00614
2	2	1	PDE_05393	NCU00617
2	2	1	PDE_01832	NCU00618
2	2	1	PDE_05385	NCU00620
2	2	1	PDE_05398	NCU00621
2	2	1	PDE_05396	NCU00622
2	2	1	PDE_03522	NCU00623
2	2	1	PDE_03513	NCU00624
2	2	1	PDE_01276	NCU00628
2	2	1	PDE_01271	NCU00629
2	2	1	PDE_08135	NCU00631
2	2	1	PDE_06379	NCU00632
2	2	1	PDE_03512	NCU00634
2	2	1	PDE_03511	NCU00635
2	2	1	PDE_03510	NCU00636
2	2	1	PDE_05796	NCU00641
2	2	1	PDE_00282	NCU00642
2	2	1	PDE_00398	NCU00643
2	2	1	PDE_00397	NCU00644
2	2	1	PDE_00584	NCU00646
2	2	1	PDE_00041	NCU00159
2	2	1	PDE_05918	NCU00649
2	2	1	PDE_05361	NCU00650
2	2	1	PDE_05221	NCU00651
2	2	1	PDE_01444	NCU00655
2	2	1	PDE_09803	NCU00656
2	2	1	PDE_09804	NCU00657
2	2	1	PDE_09805	NCU00659
2	2	1	PDE_01443	NCU00660
2	2	1	PDE_09381	NCU00662
2	2	1	PDE_09800	NCU00664
2	2	1	PDE_01445	NCU00665
2	2	1	PDE_09814	NCU00667
2	2	1	PDE_09816	NCU00668
2	2	1	PDE_09366	NCU00669
2	2	1	PDE_09367	NCU00670
2	2	1	PDE_09397	NCU00671
2	2	1	PDE_09396	NCU00673
2	2	1	PDE_02051	NCU00675
2	2	1	PDE_05837	NCU00676
2	2	1	PDE_09687	NCU00677
2	2	1	PDE_03501	NCU00680
2	2	1	PDE_09684	NCU00681
2	2	1	PDE_09813	NCU00682
2	2	1	PDE_09669	NCU00684
2	2	1	PDE_05395	NCU00685
2	2	1	PDE_02047	NCU00687
2	2	1	PDE_03372	NCU00690
2	2	1	PDE_05413	NCU00692
2	2	1	PDE_05412	NCU00693
2	2	1	PDE_01905	NCU00696
2	2	1	PDE_00042	NCU00158
2	2	1	PDE_03296	NCU00701
2	2	1	PDE_00763	NCU00705
2	2	1	PDE_04132	NCU00706
2	2	1	PDE_02229	NCU00707
2	2	1	PDE_06331	NCU00157
2	2	1	PDE_01913	NCU00711
2	2	1	PDE_05324	NCU00712
2	2	1	PDE_05332	NCU00713
2	2	1	PDE_05921	NCU00714
2	2	1	PDE_06348	NCU00715
2	2	1	PDE_02038	NCU00717
2	2	1	PDE_01482	NCU00720
2	2	1	PDE_05166	NCU00155
2	2	1	PDE_09316	NCU00722
2	2	1	PDE_06101	NCU00723
2	2	1	PDE_05320	NCU00725
2	2	1	PDE_05327	NCU00726
2	2	1	PDE_05920	NCU00727
2	2	1	PDE_05017	NCU00728
2	2	1	PDE_02145	NCU00729
2	2	1	PDE_07206	NCU00732
2	2	1	PDE_00339	NCU00734
2	2	1	PDE_04538	NCU00735
2	2	1	PDE_04217	NCU00736
2	2	1	PDE_04483	NCU00737
2	2	1	PDE_04531	NCU00741
2	2	1	PDE_04537	NCU00742
2	2	1	PDE_04535	NCU00743
2	2	1	PDE_03456	NCU00753
2	2	1	PDE_09880	NCU00754
2	2	1	PDE_00534	NCU00154
2	2	1	PDE_00949	NCU00761
2	2	1	PDE_00323	NCU00153
2	2	1	PDE_04989	NCU00765
2	2	1	PDE_05861	NCU00768
2	2	1	PDE_02519	NCU00770
2	2	1	PDE_00842	NCU00771
2	2	1	PDE_02494	NCU00775
2	2	1	PDE_02496	NCU00777
2	2	1	PDE_02497	NCU00778
2	2	1	PDE_00035	NCU00780
2	2	1	PDE_04476	NCU00782
2	2	1	PDE_00774	NCU00784
2	2	1	PDE_04227	NCU00789
2	2	1	PDE_04465	NCU00792
2	2	1	PDE_00891	NCU00793
2	2	1	PDE_04520	NCU00794
2	2	1	PDE_09672	NCU00799
2	2	1	PDE_00607	NCU00801
2	2	1	PDE_00913	NCU00803
2	2	1	PDE_05282	NCU00805
2	2	1	PDE_06057	NCU00808
2	2	1	PDE_09395	NCU00809
2	2	1	PDE_04192	NCU00152
2	2	1	PDE_05339	NCU00811
2	2	1	PDE_05329	NCU00812
2	2	1	PDE_02993	NCU00813
2	2	1	PDE_02998	NCU00814
2	2	1	PDE_01322	NCU00821
2	2	1	PDE_05294	NCU00823
2	2	1	PDE_05293	NCU00824
2	2	1	PDE_03815	NCU00825
2	2	1	PDE_06316	NCU00828
2	2	1	PDE_08755	NCU00829
2	2	1	PDE_08756	NCU00830
2	2	1	PDE_03988	NCU00832
2	2	1	PDE_09276	NCU00151
2	2	1	PDE_08816	NCU00837
2	2	1	PDE_08815	NCU00838
2	2	1	PDE_03862	NCU00843
2	2	1	PDE_07432	NCU00848
2	2	1	PDE_09811	NCU00852
2	2	1	PDE_00978	NCU00860
2	2	1	PDE_07130	NCU00863
2	2	1	PDE_07135	NCU00864
2	2	1	PDE_06595	NCU00865
2	2	1	PDE_06591	NCU00866
2	2	1	PDE_01380	NCU00868
2	2	1	PDE_09614	NCU00879
2	2	1	PDE_09615	NCU00880
2	2	1	PDE_09780	NCU00881
2	2	1	PDE_02238	NCU00884
2	2	1	PDE_05827	NCU00889
2	2	1	PDE_05998	NCU00890
2	2	1	PDE_05826	NCU00891
2	2	1	PDE_05614	NCU00892
2	2	1	PDE_05611	NCU00894
2	2	1	PDE_05612	NCU00895
2	2	1	PDE_05613	NCU00896
2	2	1	PDE_02920	NCU00897
2	2	1	PDE_02919	NCU00898
2	2	1	PDE_02939	NCU00899
2	2	1	PDE_08611	NCU00901
2	2	1	PDE_08612	NCU00902
2	2	1	PDE_06419	NCU00903
2	2	1	PDE_05825	NCU00904
2	2	1	PDE_09277	NCU00150
2	2	1	PDE_05836	NCU00911
2	2	1	PDE_00539	NCU00913
2	2	1	PDE_00564	NCU00914
2	2	1	PDE_05389	NCU00915
2	2	1	PDE_01332	NCU00916
2	2	1	PDE_05821	NCU00917
2	2	1	PDE_05832	NCU00918
2	2	1	PDE_00396	NCU00919
2	2	1	PDE_05987	NCU00920
2	2	1	PDE_05346	NCU00921
2	2	1	PDE_05341	NCU00923
2	2	1	PDE_05596	NCU00924
2	2	1	PDE_05597	NCU00925
2	2	1	PDE_05989	NCU00927
2	2	1	PDE_05988	NCU00928
2	2	1	PDE_02921	NCU00930
2	2	1	PDE_02922	NCU00931
2	2	1	PDE_05599	NCU00936
2	2	1	PDE_01949	NCU00937
2	2	1	PDE_08613	NCU00938
2	2	1	PDE_06359	NCU00944
2	2	1	PDE_01934	NCU00950
2	2	1	PDE_01935	NCU00951
2	2	1	PDE_01937	NCU00953
2	2	1	PDE_03049	NCU00954
2	2	1	PDE_00934	NCU00956
2	2	1	PDE_06287	NCU00958
2	2	1	PDE_07264	NCU00959
2	2	1	PDE_01605	NCU00962
2	2	1	PDE_06474	NCU00963
2	2	1	PDE_06473	NCU00965
2	2	1	PDE_06472	NCU00966
2	2	1	PDE_00935	NCU00969
2	2	1	PDE_03780	NCU00971
2	2	1	PDE_02583	NCU00972
2	2	1	PDE_09797	NCU00973
2	2	1	PDE_06793	NCU00974
2	2	1	PDE_01977	NCU00977
2	2	1	PDE_01975	NCU00978
2	2	1	PDE_03779	NCU00979
2	2	1	PDE_01976	NCU00981
2	2	1	PDE_06285	NCU00983
2	2	1	PDE_05466	NCU00984
2	2	1	PDE_02801	NCU00985
2	2	1	PDE_02574	NCU00988
2	2	1	PDE_01051	NCU00148
2	2	1	PDE_03585	NCU00147
2	2	1	PDE_06115	NCU00998
2	2	1	PDE_06120	NCU00999
2	2	1	PDE_04240	NCU01000
2	2	1	PDE_00162	NCU01002
2	2	1	PDE_02040	NCU01004
2	2	1	PDE_00376	NCU01005
2	2	1	PDE_06185	NCU01006
2	2	1	PDE_04146	NCU01008
2	2	1	PDE_08803	NCU01010
2	2	1	PDE_06849	NCU01013
2	2	1	PDE_05539	NCU01014
2	2	1	PDE_06761	NCU01016
2	2	1	PDE_06759	NCU01019
2	2	1	PDE_06766	NCU01021
2	2	1	PDE_06767	NCU01022
2	2	1	PDE_06758	NCU01023
2	2	1	PDE_08320	NCU01036
2	2	1	PDE_07138	NCU01039
2	2	1	PDE_02444	NCU01041
2	2	1	PDE_09657	NCU01047
2	2	1	PDE_09941	NCU01055
2	2	1	PDE_06955	NCU01057
2	2	1	PDE_02485	NCU01059
2	2	1	PDE_00679	NCU01065
2	2	1	PDE_09705	NCU01067
2	2	1	PDE_09362	NCU01068
2	2	1	PDE_02268	NCU01069
2	2	1	PDE_02269	NCU01070
2	2	1	PDE_05003	NCU01072
2	2	1	PDE_09519	NCU01083
2	2	1	PDE_09514	NCU01084
2	2	1	PDE_06561	NCU01086
2	2	1	PDE_07939	NCU01089
2	2	1	PDE_07595	NCU01095
2	2	1	PDE_09636	NCU01099
2	2	1	PDE_09515	NCU01100
2	2	1	PDE_09516	NCU01101
2	2	1	PDE_09517	NCU01102
2	2	1	PDE_03703	NCU01104
2	2	1	PDE_00802	NCU01106
2	2	1	PDE_01104	NCU00146
2	2	1	PDE_06569	NCU01108
2	2	1	PDE_02730	NCU01111
2	2	1	PDE_06748	NCU01114
2	2	1	PDE_09554	NCU01115
2	2	1	PDE_09836	NCU01116
2	2	1	PDE_09562	NCU01118
2	2	1	PDE_09561	NCU01119
2	2	1	PDE_09560	NCU01120
2	2	1	PDE_09835	NCU01121
2	2	1	PDE_01105	NCU00145
2	2	1	PDE_06637	NCU01127
2	2	1	PDE_02169	NCU01132
2	2	1	PDE_00278	NCU01138
2	2	1	PDE_09870	NCU01140
2	2	1	PDE_09339	NCU01141
2	2	1	PDE_09338	NCU01142
2	2	1	PDE_07747	NCU01143
2	2	1	PDE_07745	NCU01146
2	2	1	PDE_08839	NCU01147
2	2	1	PDE_05497	NCU01150
2	2	1	PDE_02029	NCU01154
2	2	1	PDE_02034	NCU01157
2	2	1	PDE_04624	NCU01160
2	2	1	PDE_04622	NCU01161
2	2	1	PDE_09640	NCU00137
2	2	1	PDE_04638	NCU01163
2	2	1	PDE_02343	NCU01164
2	2	1	PDE_02341	NCU01165
2	2	1	PDE_04688	NCU01166
2	2	1	PDE_02634	NCU01167
2	2	1	PDE_04335	NCU01169
2	2	1	PDE_09842	NCU01170
2	2	1	PDE_09895	NCU01171
2	2	1	PDE_09896	NCU01172
2	2	1	PDE_09903	NCU01174
2	2	1	PDE_09902	NCU01175
2	2	1	PDE_09920	NCU01177
2	2	1	PDE_01029	NCU01178
2	2	1	PDE_01030	NCU01179
2	2	1	PDE_09350	NCU01180
2	2	1	PDE_09342	NCU01181
2	2	1	PDE_09343	NCU01182
2	2	1	PDE_09308	NCU01183
2	2	1	PDE_09307	NCU01184
2	2	1	PDE_03580	NCU01185
2	2	1	PDE_09306	NCU01187
2	2	1	PDE_09393	NCU01188
2	2	1	PDE_09634	NCU01189
2	2	1	PDE_01037	NCU01190
2	2	1	PDE_07793	NCU01192
2	2	1	PDE_06052	NCU01193
2	2	1	PDE_06117	NCU01195
2	2	1	PDE_00619	NCU01197
2	2	1	PDE_00616	NCU01198
2	2	1	PDE_09432	NCU01199
2	2	1	PDE_03689	NCU01200
2	2	1	PDE_02488	NCU01201
2	2	1	PDE_00853	NCU01202
2	2	1	PDE_00854	NCU01203
2	2	1	PDE_00856	NCU01205
2	2	1	PDE_02489	NCU01206
2	2	1	PDE_09914	NCU01207
2	2	1	PDE_09923	NCU01208
2	2	1	PDE_01048	NCU01210
2	2	1	PDE_09589	NCU01211
2	2	1	PDE_00326	NCU01213
2	2	1	PDE_04054	NCU01215
2	2	1	PDE_02710	NCU01216
2	2	1	PDE_02686	NCU01218
2	2	1	PDE_02685	NCU01219
2	2	1	PDE_02678	NCU01220
2	2	1	PDE_02707	NCU01221
2	2	1	PDE_09707	NCU01224
2	2	1	PDE_09706	NCU01225
2	2	1	PDE_09282	NCU01227
2	2	1	PDE_09281	NCU01229
2	2	1	PDE_05653	NCU01231
