organism	tf_locus_tag	tf_name	tf_ortho_names	tg_locus_tag	tg_name	tg_ortho_names	interaction	ortho_pox	ortho_ani	ortho_ncr	ortho_sce	tfbs_count
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00030	PDE_00030		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00122	PDE_00122		-	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00131	PDE_00131		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00236	PDE_00236		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00282	PDE_00282	gh35-1	-	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00287	PDE_00287		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00310	PDE_00310		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00325	PDE_00325		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00369	PDE_00369	nit-3	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00371	PDE_00371	nit-10	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00502	PDE_00502		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00542	PDE_00542	leu-1	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00555	PDE_00555		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00567	PDE_00567		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00583	PDE_00583		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00600	PDE_00600		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00648	PDE_00648		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00660	PDE_00660		+	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00673	PDE_00673	nca-2	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00676	PDE_00676		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00704	PDE_00704		-	0	0	1	0	3
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00897	PDE_00897	ham-8	-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_00943	PDE_00943		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01002	PDE_01002		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01084	PDE_01084		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01090	PDE_01090		+	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01101	PDE_01101		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01147	PDE_01147		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01261	PDE_01261	gh61-9	-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01282	PDE_01282		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01315	PDE_01315	pho-3	-	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01322	PDE_01322		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01343	PDE_01343		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01345	PDE_01345		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01380	PDE_01380		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01385	PDE_01385	asd-1	-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01404	PDE_01404	cat-3	-	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01494	PDE_01494		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01509	PDE_01509		+	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01559	PDE_01559		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01680	PDE_01680		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01689	PDE_01689		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01695	PDE_01695		+	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01697	PDE_01697		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01738	PDE_01738		+	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01786	PDE_01786		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01840	PDE_01840	csn-2	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_01934	PDE_01934		+	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02004	PDE_02004	neg-1	-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02086	PDE_02086		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02101	PDE_02101	gh11-2	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02144	PDE_02144		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02207	PDE_02207		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02209	PDE_02209		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02342	PDE_02342		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02376	PDE_02376		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02390	PDE_02390		-	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02418	PDE_02418	gh10-1	-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02476	PDE_02476	cmd	-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02498	PDE_02498		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02574	PDE_02574		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02587	PDE_02587		-	0	0	1	0	3
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02593	PDE_02593		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02619	PDE_02619	cbs-1	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02729	PDE_02729	mtr	+	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02780	PDE_02780		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02795	PDE_02795		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02801	PDE_02801		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02816	PDE_02816		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_02829	PDE_02829		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03061	PDE_03061		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03069	PDE_03069		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03082	PDE_03082		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03098	PDE_03098		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03144	PDE_03144		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03168	CreA	cre-1	-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03286	PDE_03286	hcp-1	-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03299	PDE_03299		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03322	PDE_03322		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03370	PDE_03370		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03403	PDE_03403		-	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03458	PDE_03458	arg-6	+	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03483	PDE_03483	acu-9	+	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03543	PDE_03543		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03665	PDE_03665		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03774	PDE_03774	pex1	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03927	PDE_03927		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_03955	PDE_03955		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04109	PDE_04109	gh18-9	-	0	0	1	0	3
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04147	PDE_04147	pho-2	-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04150	PDE_04150		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04251	PDE_04251	gh3-6	-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04271	PDE_04271		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04423	PDE_04423		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04432	PDE_04432		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04448	PDE_04448		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04506	PDE_04506		-	0	0	1	0	3
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04581	PDE_04581		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04591	PDE_04591		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04633	PDE_04633	sah-2	-	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04667	PDE_04667		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04686	PDE_04686		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04693	PDE_04693		-	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04805	PDE_04805		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04834	PDE_04834		+	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04902	PDE_04902		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04919	PDE_04919		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04924	PDE_04924		-	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_04938	PDE_04938	ccg-9	-	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05001	PDE_05001		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05034	PDE_05034		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05044	PDE_05044	stk-23	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05163	PDE_05163	pac-3	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05191	PDE_05191		+	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05277	PDE_05277		+	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05305	PDE_05305		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05326	PDE_05326		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05363	PDE_05363		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05436	PDE_05436		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05439	PDE_05439		+	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05508	PDE_05508		+	0	0	1	0	3
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05532	PDE_05532		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05544	PDE_05544	pht-1	-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05585	PDE_05585		-	0	0	1	0	4
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05624	PDE_05624	spe-1	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05674	PDE_05674		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05711	PDE_05711		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05713	PDE_05713		-	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05771	PDE_05771		+	0	0	1	0	4
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_05882	PDE_05882		-	0	0	1	0	3
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06018	PDE_06018		-	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06022	PDE_06022		+	0	0	1	0	3
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06034	PDE_06034		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06058	PDE_06058		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06068	PDE_06068		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06117	PDE_06117	am	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06120	PDE_06120		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06279	PDE_06279		-	0	0	1	0	3
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06294	PDE_06294		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06306	PDE_06306		-	0	0	1	0	3
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06328	PDE_06328		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06396	PDE_06396	mtr	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06409	PDE_06409		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06420	PDE_06420		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06495	PDE_06495		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06498	PDE_06498		-	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06546	PDE_06546		-	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06571	PDE_06571		-	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06595	PDE_06595		-	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06620	PDE_06620		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06703	PDE_06703		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06745	PDE_06745		-	0	0	1	0	3
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06785	PDE_06785		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06789	PDE_06789		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06802	PDE_06802		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_06955	PDE_06955		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07033	PDE_07033		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07075	PDE_07075	tim44	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07101	PDE_07101		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07148	PDE_07148		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07206	PDE_07206		-	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07242	qutE	qa-2	-	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07249	katG	cat-2	-	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07314	PDE_07314		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07351	PDE_07351		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07408	PDE_07408		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07432	PDE_07432		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07437	PDE_07437		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07522	PDE_07522	mlh-1	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07611	PDE_07611		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07727	PDE_07727		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07740	PDE_07740		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07778	PDE_07778		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07781	PDE_07781		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07810	PDE_07810		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07817	PDE_07817		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07875	PDE_07875		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_07986	PDE_07986		+	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08036	PDE_08036		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08042	PDE_08042	mtr	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08094	PDE_08094	gh10-3	-	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08111	PDE_08111		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08131	PDE_08131		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08190	PDE_08190		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08214	PDE_08214		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08237	PDE_08237		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08337	PDE_08337		+	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08340	PDE_08340		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08366	PDE_08366	nuo49	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08445	PDE_08445		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08518	PDE_08518		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08553	PDE_08553	tim54	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08639	PDE_08639		-	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08723	PDE_08723	ff-1	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08763	PDE_08763		-	0	0	1	0	4
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08765	PDE_08765		-	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08857	PDE_08857		+	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_08870	PDE_08870	ala	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09027	PDE_09027		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09091	PDE_09091		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09163	PDE_09163		+	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09231	PDE_09231		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09236	PDE_09236		-	0	0	1	0	3
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09253	PDE_09253	gst-1	-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09279	PDE_09279		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09334	PDE_09334		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09335	PDE_09335		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09342	PDE_09342	acd-3	-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09380	PDE_09380		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09448	PDE_09448		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09466	PDE_09466		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09587	PDE_09587		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09593	PDE_09593	pdx-1	+	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09703	PDE_09703		-	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09718	PDE_09718		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09770	PDE_09770		-	0	0	1	0	4
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09779	PDE_09779	set-6	+	0	0	1	0	1
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09809	PDE_09809		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09848	PDE_09848		-	0	0	1	0	3
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09864	PDE_09864		-	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09865	PDE_09865		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09894	PDE_09894	ccg-16	-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09924	PDE_09924	tim22	+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09931	PDE_09931		+	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09979	PDE_09979	dys-1	+	0	0	1	0	2
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_09988	PDE_09988		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_10008	PDE_10008		-	0	0	1	0	0
Poxalicum	PDE_00436	PDE_00436	vad-5	PDE_10011	PDE_10011		-	0	0	1	0	1
Poxalicum	PDE_00451	PDE_00451		PDE_02101	PDE_02101	gh11-2	-	0	0	1	0	0
Poxalicum	PDE_00451	PDE_00451		PDE_02418	PDE_02418	gh10-1	-	0	0	1	0	0
Poxalicum	PDE_00451	PDE_00451		PDE_06306	PDE_06306		-	0	0	1	0	0
Poxalicum	PDE_00451	PDE_00451		PDE_06546	PDE_06546		-	0	0	1	0	0
Poxalicum	PDE_00451	PDE_00451		PDE_08036	PDE_08036		-	0	0	1	0	1
Poxalicum	PDE_00471	PDE_00471	uaY	PDE_00604	PDE_00604	azgA	+	0	1	0	0	0
Poxalicum	PDE_00471	PDE_00471	uaY	PDE_02207	PDE_02207	uapC	+	0	1	0	0	0
Poxalicum	PDE_00471	PDE_00471	uaY	PDE_03747	PDE_03747	fcyB	+	0	1	0	0	0
