# Species	Genes	Alg.-Conn.	Penicillium_sp_2HH.fasta	P.oxalicum_114-2.fasta
2	2	1	PECH_000124	PDE_02223
2	2	1	PECH_000125	PDE_02222
2	2	1	PECH_000126	PDE_02221
2	2	1	PECH_000127	PDE_02220
2	2	1	PECH_000128	PDE_02219
2	2	1	PECH_000129	PDE_02218
2	2	1	PECH_000130	PDE_02217
2	2	1	PECH_000131	PDE_02216
2	2	1	PECH_000132	PDE_02215
2	2	1	PECH_000133	PDE_02214
2	2	1	PECH_000134	PDE_02213
2	2	1	PECH_000135	PDE_02212
2	2	1	PECH_000136	PDE_02210
2	2	1	PECH_000137	PDE_02209
2	2	1	PECH_000138	PDE_02208
2	2	1	PECH_000139	PDE_02207
2	2	1	PECH_000140	PDE_02205
2	2	1	PECH_000141	PDE_02202
2	2	1	PECH_000144	PDE_02200
2	2	1	PECH_000145	PDE_02196
2	2	1	PECH_000146	PDE_02195
2	2	1	PECH_000147	PDE_02193
2	2	1	PECH_000148	PDE_02192
2	2	1	PECH_000149	PDE_02191
2	2	1	PECH_000150	PDE_02190
2	2	1	PECH_000151	PDE_02189
2	2	1	PECH_000152	PDE_02188
2	2	1	PECH_000153	PDE_02187
2	2	1	PECH_000154	PDE_02186
2	2	1	PECH_000155	PDE_02184
2	2	1	PECH_000156	PDE_02182
2	2	1	PECH_000157	PDE_02181
2	2	1	PECH_000160	PDE_02176
2	2	1	PECH_000161	PDE_02174
2	2	1	PECH_000162	PDE_02172
2	2	1	PECH_000163	PDE_02171
2	2	1	PECH_000164	PDE_02170
2	2	1	PECH_000165	PDE_04578
2	2	1	PECH_000166	PDE_04577
2	2	1	PECH_000167	PDE_04576
2	2	1	PECH_000168	PDE_04575
2	2	1	PECH_000169	PDE_04574
2	2	1	PECH_000170	PDE_04573
2	2	1	PECH_000171	PDE_04572
2	2	1	PECH_000172	PDE_04571
2	2	1	PECH_000173	PDE_04570
2	2	1	PECH_000174	PDE_04569
2	2	1	PECH_000175	PDE_04568
2	2	1	PECH_000176	PDE_04567
2	2	1	PECH_000177	PDE_04566
2	2	1	PECH_000178	PDE_04565
2	2	1	PECH_000179	PDE_04564
2	2	1	PECH_000180	PDE_04561
2	2	1	PECH_000181	PDE_04560
2	2	1	PECH_000182	PDE_04559
2	2	1	PECH_000183	PDE_04558
2	2	1	PECH_000184	PDE_04557
2	2	1	PECH_000186	PDE_04554
2	2	1	PECH_000187	PDE_04553
2	2	1	PECH_000188	PDE_04552
2	2	1	PECH_000189	PDE_04551
2	2	1	PECH_000190	PDE_04550
2	2	1	PECH_000191	PDE_04549
2	2	1	PECH_000192	PDE_04548
2	2	1	PECH_000193	PDE_04547
2	2	1	PECH_000194	PDE_04546
2	2	1	PECH_000195	PDE_04542
2	2	1	PECH_000196	PDE_04541
2	2	1	PECH_000197	PDE_04540
2	2	1	PECH_000198	PDE_04539
2	2	1	PECH_000199	PDE_04538
2	2	1	PECH_000200	PDE_04537
2	2	1	PECH_000201	PDE_04535
2	2	1	PECH_000202	PDE_04534
2	2	1	PECH_000203	PDE_04533
2	2	1	PECH_000204	PDE_04532
2	2	1	PECH_000205	PDE_04531
2	2	1	PECH_000206	PDE_04530
2	2	1	PECH_000209	PDE_04529
2	2	1	PECH_000210	PDE_04528
2	2	1	PECH_000211	PDE_04527
2	2	1	PECH_000212	PDE_04526
2	2	1	PECH_000213	PDE_04525
2	2	1	PECH_000214	PDE_04524
2	2	1	PECH_000215	PDE_04523
2	2	1	PECH_000216	PDE_04522
2	2	1	PECH_000217	PDE_04521
2	2	1	PECH_000219	PDE_04520
2	2	1	PECH_000220	PDE_04519
2	2	1	PECH_000221	PDE_04516
2	2	1	PECH_000222	PDE_04513
2	2	1	PECH_000223	PDE_04512
2	2	1	PECH_000224	PDE_04511
2	2	1	PECH_000225	PDE_04510
2	2	1	PECH_000226	PDE_04509
2	2	1	PECH_000227	PDE_04508
2	2	1	PECH_000228	PDE_04507
2	2	1	PECH_000229	PDE_04506
2	2	1	PECH_000230	PDE_04505
2	2	1	PECH_000231	PDE_04504
2	2	1	PECH_000232	PDE_04503
2	2	1	PECH_000233	PDE_04502
2	2	1	PECH_000234	PDE_04500
2	2	1	PECH_000235	PDE_04499
2	2	1	PECH_000236	PDE_04498
2	2	1	PECH_000237	PDE_04497
2	2	1	PECH_000238	PDE_04496
2	2	1	PECH_000239	PDE_04495
2	2	1	PECH_000240	PDE_04494
2	2	1	PECH_000241	PDE_04493
2	2	1	PECH_000242	PDE_04492
2	2	1	PECH_000243	PDE_04491
2	2	1	PECH_000244	PDE_04490
2	2	1	PECH_000246	PDE_04489
2	2	1	PECH_000247	PDE_04488
2	2	1	PECH_000248	PDE_04487
2	2	1	PECH_000249	PDE_04486
2	2	1	PECH_000251	PDE_04484
2	2	1	PECH_000252	PDE_04483
2	2	1	PECH_000253	PDE_04482
2	2	1	PECH_000254	PDE_04481
2	2	1	PECH_000255	PDE_04480
2	2	1	PECH_000256	PDE_06792
2	2	1	PECH_000257	PDE_04478
2	2	1	PECH_000258	PDE_04476
2	2	1	PECH_000259	PDE_04475
2	2	1	PECH_000260	PDE_04474
2	2	1	PECH_000261	PDE_04473
2	2	1	PECH_000262	PDE_04471
2	2	1	PECH_000263	PDE_04469
2	2	1	PECH_000264	PDE_04470
2	2	1	PECH_000266	PDE_04468
2	2	1	PECH_000267	PDE_04467
2	2	1	PECH_000268	PDE_04466
2	2	1	PECH_000269	PDE_04465
2	2	1	PECH_000270	PDE_04464
2	2	1	PECH_000271	PDE_04462
2	2	1	PECH_000272	PDE_04461
2	2	1	PECH_000274	PDE_04459
2	2	1	PECH_000275	PDE_04458
2	2	1	PECH_000276	PDE_04457
2	2	1	PECH_000277	PDE_04456
2	2	1	PECH_000278	PDE_04455
2	2	1	PECH_000279	PDE_04454
2	2	1	PECH_000280	PDE_04453
2	2	1	PECH_000281	PDE_04452
2	2	1	PECH_000282	PDE_04451
2	2	1	PECH_000283	PDE_04450
2	2	1	PECH_000284	PDE_04448
2	2	1	PECH_000293	PDE_01238
2	2	1	PECH_000294	PDE_06887
2	2	1	PECH_000296	PDE_09167
2	2	1	PECH_000297	PDE_09168
2	2	1	PECH_000298	PDE_09169
2	2	1	PECH_000299	PDE_09170
2	2	1	PECH_000300	PDE_09171
2	2	1	PECH_000301	PDE_09172
2	2	1	PECH_000302	PDE_09173
2	2	1	PECH_000303	PDE_09174
2	2	1	PECH_000304	PDE_09175
2	2	1	PECH_000305	PDE_09176
2	2	1	PECH_000306	PDE_09177
2	2	1	PECH_000307	PDE_09178
2	2	1	PECH_000310	PDE_09179
2	2	1	PECH_000312	PDE_09181
2	2	1	PECH_000313	PDE_09182
2	2	1	PECH_000314	PDE_09183
2	2	1	PECH_000315	PDE_09184
2	2	1	PECH_000316	PDE_05672
2	2	1	PECH_000317	PDE_01003
2	2	1	PECH_000318	PDE_01004
2	2	1	PECH_000319	PDE_01005
2	2	1	PECH_000320	PDE_01006
2	2	1	PECH_000321	PDE_01007
2	2	1	PECH_000322	PDE_01008
2	2	1	PECH_000323	PDE_01009
2	2	1	PECH_000324	PDE_01010
2	2	1	PECH_000325	PDE_01011
2	2	1	PECH_000326	PDE_01012
2	2	1	PECH_000327	PDE_01013
2	2	1	PECH_000328	PDE_01015
2	2	1	PECH_000329	PDE_01016
2	2	1	PECH_000330	PDE_01017
2	2	1	PECH_000331	PDE_01018
2	2	1	PECH_000332	PDE_01019
2	2	1	PECH_000333	PDE_01020
2	2	1	PECH_000334	PDE_01021
2	2	1	PECH_000335	PDE_01022
2	2	1	PECH_000336	PDE_01023
2	2	1	PECH_000337	PDE_01024
2	2	1	PECH_000338	PDE_01025
2	2	1	PECH_000339	PDE_01026
2	2	1	PECH_000340	PDE_01027
2	2	1	PECH_000341	PDE_01028
2	2	1	PECH_000342	PDE_01029
2	2	1	PECH_000343	PDE_01030
2	2	1	PECH_000346	PDE_01031
2	2	1	PECH_000347	PDE_01034
2	2	1	PECH_000348	PDE_01035
2	2	1	PECH_000349	PDE_01036
2	2	1	PECH_000350	PDE_01037
2	2	1	PECH_000352	PDE_02029
2	2	1	PECH_000353	PDE_02033
2	2	1	PECH_000354	PDE_02034
2	2	1	PECH_000355	PDE_02035
2	2	1	PECH_000356	PDE_02036
2	2	1	PECH_000357	PDE_02037
2	2	1	PECH_000358	PDE_02038
2	2	1	PECH_000359	PDE_02039
2	2	1	PECH_000360	PDE_02040
2	2	1	PECH_000361	PDE_02042
2	2	1	PECH_000362	PDE_02044
2	2	1	PECH_000363	PDE_02045
2	2	1	PECH_000364	PDE_02046
2	2	1	PECH_000365	PDE_02047
2	2	1	PECH_000366	PDE_02049
2	2	1	PECH_000367	PDE_02050
2	2	1	PECH_000368	PDE_02051
2	2	1	PECH_000369	PDE_02052
2	2	1	PECH_000370	PDE_02054
2	2	1	PECH_000371	PDE_02055
2	2	1	PECH_000372	PDE_02056
2	2	1	PECH_000373	PDE_02058
2	2	1	PECH_000374	PDE_02060
2	2	1	PECH_000375	PDE_02061
2	2	1	PECH_000376	PDE_02063
2	2	1	PECH_000377	PDE_02064
2	2	1	PECH_000378	PDE_02065
2	2	1	PECH_000379	PDE_09864
2	2	1	PECH_000381	PDE_09865
2	2	1	PECH_000382	PDE_09866
2	2	1	PECH_000383	PDE_09867
2	2	1	PECH_000384	PDE_09868
2	2	1	PECH_000385	PDE_09869
2	2	1	PECH_000386	PDE_09870
2	2	1	PECH_000387	PDE_09871
2	2	1	PECH_000389	PDE_09875
2	2	1	PECH_000390	PDE_07757
2	2	1	PECH_000391	PDE_07758
2	2	1	PECH_000393	PDE_03898
2	2	1	PECH_000394	PDE_04848
2	2	1	PECH_000395	PDE_07066
2	2	1	PECH_000396	PDE_07762
2	2	1	PECH_000397	PDE_07763
2	2	1	PECH_000398	PDE_07764
2	2	1	PECH_000399	PDE_07765
2	2	1	PECH_000400	PDE_07766
2	2	1	PECH_000401	PDE_07767
2	2	1	PECH_000402	PDE_07768
2	2	1	PECH_000404	PDE_07769
2	2	1	PECH_000405	PDE_07770
2	2	1	PECH_000406	PDE_07772
2	2	1	PECH_000407	PDE_07773
2	2	1	PECH_000408	PDE_07774
2	2	1	PECH_000409	PDE_07775
2	2	1	PECH_000410	PDE_07776
2	2	1	PECH_000411	PDE_07777
2	2	1	PECH_000413	PDE_07756
2	2	1	PECH_000414	PDE_07754
2	2	1	PECH_000415	PDE_07752
2	2	1	PECH_000416	PDE_07750
2	2	1	PECH_000418	PDE_07748
2	2	1	PECH_000419	PDE_07747
2	2	1	PECH_000420	PDE_07746
2	2	1	PECH_000421	PDE_07745
2	2	1	PECH_000422	PDE_07744
2	2	1	PECH_000423	PDE_07743
2	2	1	PECH_000424	PDE_07742
2	2	1	PECH_000425	PDE_07741
2	2	1	PECH_000426	PDE_07740
2	2	1	PECH_000427	PDE_07738
2	2	1	PECH_000428	PDE_07737
2	2	1	PECH_000429	PDE_07736
2	2	1	PECH_000430	PDE_07735
2	2	1	PECH_000431	PDE_07734
2	2	1	PECH_000432	PDE_07733
2	2	1	PECH_000433	PDE_07731
2	2	1	PECH_000434	PDE_07730
2	2	1	PECH_000435	PDE_07729
2	2	1	PECH_000436	PDE_07728
2	2	1	PECH_000437	PDE_07727
2	2	1	PECH_000438	PDE_07726
2	2	1	PECH_000439	PDE_07724
2	2	1	PECH_000440	PDE_07723
2	2	1	PECH_000441	PDE_07722
2	2	1	PECH_000443	PDE_07721
2	2	1	PECH_000444	PDE_07720
2	2	1	PECH_000445	PDE_07719
2	2	1	PECH_000446	PDE_07718
2	2	1	PECH_000447	PDE_05238
2	2	1	PECH_000448	PDE_05237
2	2	1	PECH_000449	PDE_05236
2	2	1	PECH_000450	PDE_05233
2	2	1	PECH_000452	PDE_05231
2	2	1	PECH_000453	PDE_05230
2	2	1	PECH_000454	PDE_05229
2	2	1	PECH_000455	PDE_05228
2	2	1	PECH_000456	PDE_05227
2	2	1	PECH_000457	PDE_05226
2	2	1	PECH_000458	PDE_05225
2	2	1	PECH_000459	PDE_05223
2	2	1	PECH_000460	PDE_05221
2	2	1	PECH_000462	PDE_05219
2	2	1	PECH_000463	PDE_05218
2	2	1	PECH_000464	PDE_05217
2	2	1	PECH_000465	PDE_05216
2	2	1	PECH_000466	PDE_05215
2	2	1	PECH_000467	PDE_05214
2	2	1	PECH_000469	PDE_07977
2	2	1	PECH_000470	PDE_07978
2	2	1	PECH_000471	PDE_07980
2	2	1	PECH_000472	PDE_07982
2	2	1	PECH_000473	PDE_07983
2	2	1	PECH_000474	PDE_07984
2	2	1	PECH_000475	PDE_07985
2	2	1	PECH_000476	PDE_07986
2	2	1	PECH_000477	PDE_00210
2	2	1	PECH_000478	PDE_00209
2	2	1	PECH_000479	PDE_00208
2	2	1	PECH_000480	PDE_00207
2	2	1	PECH_000481	PDE_00206
2	2	1	PECH_000482	PDE_00204
2	2	1	PECH_000483	PDE_00203
2	2	1	PECH_000484	PDE_00201
2	2	1	PECH_000485	PDE_00200
2	2	1	PECH_000486	PDE_00199
2	2	1	PECH_000487	PDE_00198
2	2	1	PECH_000488	PDE_00197
2	2	1	PECH_000493	PDE_00196
2	2	1	PECH_000494	PDE_00194
2	2	1	PECH_000495	PDE_00193
2	2	1	PECH_000496	PDE_00142
2	2	1	PECH_000497	PDE_00144
2	2	1	PECH_000498	PDE_00145
2	2	1	PECH_000499	PDE_00146
2	2	1	PECH_000501	PDE_00148
2	2	1	PECH_000502	PDE_00149
2	2	1	PECH_000503	PDE_00150
2	2	1	PECH_000504	PDE_00151
2	2	1	PECH_000505	PDE_00152
2	2	1	PECH_000507	PDE_00153
2	2	1	PECH_000508	PDE_00154
2	2	1	PECH_000509	PDE_00155
2	2	1	PECH_000510	PDE_00156
2	2	1	PECH_000511	PDE_00157
2	2	1	PECH_000514	PDE_02414
2	2	1	PECH_000517	PDE_06031
2	2	1	PECH_000518	PDE_06030
2	2	1	PECH_000519	PDE_06029
2	2	1	PECH_000520	PDE_06028
2	2	1	PECH_000522	PDE_06026
2	2	1	PECH_000523	PDE_06025
2	2	1	PECH_000524	PDE_06023
2	2	1	PECH_000525	PDE_06022
2	2	1	PECH_000527	PDE_06020
2	2	1	PECH_000528	PDE_06019
2	2	1	PECH_000531	PDE_06018
2	2	1	PECH_000532	PDE_06017
2	2	1	PECH_000533	PDE_06016
2	2	1	PECH_000534	PDE_06015
2	2	1	PECH_000535	PDE_06014
2	2	1	PECH_000537	PDE_06013
2	2	1	PECH_000538	PDE_06012
2	2	1	PECH_000539	PDE_06011
2	2	1	PECH_000540	PDE_06010
2	2	1	PECH_000541	PDE_06009
2	2	1	PECH_000543	PDE_06007
2	2	1	PECH_000544	PDE_06006
2	2	1	PECH_000545	PDE_06005
2	2	1	PECH_000546	PDE_06004
2	2	1	PECH_000547	PDE_06003
2	2	1	PECH_000548	PDE_06002
2	2	1	PECH_000549	PDE_06001
2	2	1	PECH_000550	PDE_06000
2	2	1	PECH_000552	PDE_01441
2	2	1	PECH_000553	PDE_01442
2	2	1	PECH_000554	PDE_01443
2	2	1	PECH_000555	PDE_01444
2	2	1	PECH_000556	PDE_01445
2	2	1	PECH_000557	PDE_00383
2	2	1	PECH_000558	PDE_01446
2	2	1	PECH_000559	PDE_01447
2	2	1	PECH_000560	PDE_01448
2	2	1	PECH_000561	PDE_01449
2	2	1	PECH_000562	PDE_01451
2	2	1	PECH_000563	PDE_01453
2	2	1	PECH_000564	PDE_01454
2	2	1	PECH_000567	PDE_01455
2	2	1	PECH_000568	PDE_01456
2	2	1	PECH_000569	PDE_01457
2	2	1	PECH_000570	PDE_01458
2	2	1	PECH_000571	PDE_01459
2	2	1	PECH_000572	PDE_01460
2	2	1	PECH_000573	PDE_01461
2	2	1	PECH_000574	PDE_01462
2	2	1	PECH_000575	PDE_01463
2	2	1	PECH_000576	PDE_01464
2	2	1	PECH_000578	PDE_01996
2	2	1	PECH_000579	PDE_01995
2	2	1	PECH_000580	PDE_01993
2	2	1	PECH_000584	PDE_01992
2	2	1	PECH_000585	PDE_01989
2	2	1	PECH_000587	PDE_01988
2	2	1	PECH_000588	PDE_01985
2	2	1	PECH_000589	PDE_01984
2	2	1	PECH_000590	PDE_01983
2	2	1	PECH_000592	PDE_01982
2	2	1	PECH_000593	PDE_01981
2	2	1	PECH_000594	PDE_01979
2	2	1	PECH_000595	PDE_01977
2	2	1	PECH_000596	PDE_01976
2	2	1	PECH_000597	PDE_01975
2	2	1	PECH_000598	PDE_01971
2	2	1	PECH_000600	PDE_01966
2	2	1	PECH_000601	PDE_01965
2	2	1	PECH_000602	PDE_01964
2	2	1	PECH_000603	PDE_01963
2	2	1	PECH_000604	PDE_01962
2	2	1	PECH_000605	PDE_01961
2	2	1	PECH_000606	PDE_01960
2	2	1	PECH_000607	PDE_01959
2	2	1	PECH_000608	PDE_01958
2	2	1	PECH_000609	PDE_01957
2	2	1	PECH_000610	PDE_08465
2	2	1	PECH_000611	PDE_08466
2	2	1	PECH_000612	PDE_08467
2	2	1	PECH_000613	PDE_08468
2	2	1	PECH_000614	PDE_08469
2	2	1	PECH_000615	PDE_08470
2	2	1	PECH_000616	PDE_08471
2	2	1	PECH_000617	PDE_08472
2	2	1	PECH_000619	PDE_08474
2	2	1	PECH_000620	PDE_08475
2	2	1	PECH_000621	PDE_08476
2	2	1	PECH_000622	PDE_08477
2	2	1	PECH_000623	PDE_08478
2	2	1	PECH_000625	PDE_08479
2	2	1	PECH_000626	PDE_08481
2	2	1	PECH_000627	PDE_08482
2	2	1	PECH_000628	PDE_08483
2	2	1	PECH_000629	PDE_08484
2	2	1	PECH_000630	PDE_08485
2	2	1	PECH_000631	PDE_08486
2	2	1	PECH_000632	PDE_08487
2	2	1	PECH_000633	PDE_08488
2	2	1	PECH_000634	PDE_08490
2	2	1	PECH_000638	PDE_08494
2	2	1	PECH_000639	PDE_08495
2	2	1	PECH_000640	PDE_08496
2	2	1	PECH_000642	PDE_08498
2	2	1	PECH_000643	PDE_08499
2	2	1	PECH_000644	PDE_08500
2	2	1	PECH_000645	PDE_08501
2	2	1	PECH_000646	PDE_08502
2	2	1	PECH_000649	PDE_08506
2	2	1	PECH_000651	PDE_08507
2	2	1	PECH_000652	PDE_08510
2	2	1	PECH_000653	PDE_08511
2	2	1	PECH_000654	PDE_08512
2	2	1	PECH_000655	PDE_08513
2	2	1	PECH_000656	PDE_08514
2	2	1	PECH_000657	PDE_08515
2	2	1	PECH_000658	PDE_08516
2	2	1	PECH_000659	PDE_08517
2	2	1	PECH_000660	PDE_08518
2	2	1	PECH_000661	PDE_08519
2	2	1	PECH_000662	PDE_08520
2	2	1	PECH_000663	PDE_08521
2	2	1	PECH_000664	PDE_08522
2	2	1	PECH_000665	PDE_08523
2	2	1	PECH_000666	PDE_08843
2	2	1	PECH_000667	PDE_08524
2	2	1	PECH_000668	PDE_08525
2	2	1	PECH_000669	PDE_08526
2	2	1	PECH_000670	PDE_08527
2	2	1	PECH_000671	PDE_08528
2	2	1	PECH_000672	PDE_08529
2	2	1	PECH_000673	PDE_08530
2	2	1	PECH_000674	PDE_08531
2	2	1	PECH_000675	PDE_08532
2	2	1	PECH_000676	PDE_08533
2	2	1	PECH_000677	PDE_08534
2	2	1	PECH_000678	PDE_08535
2	2	1	PECH_000679	PDE_08536
2	2	1	PECH_000680	PDE_08537
2	2	1	PECH_000681	PDE_08538
2	2	1	PECH_000682	PDE_08539
2	2	1	PECH_000684	PDE_08540
2	2	1	PECH_000685	PDE_08541
2	2	1	PECH_000686	PDE_08542
2	2	1	PECH_000687	PDE_08543
2	2	1	PECH_000688	PDE_08544
2	2	1	PECH_000689	PDE_08545
2	2	1	PECH_000690	PDE_08546
2	2	1	PECH_000691	PDE_08547
2	2	1	PECH_000692	PDE_08548
2	2	1	PECH_000693	PDE_08549
2	2	1	PECH_000694	PDE_08550
2	2	1	PECH_000695	PDE_08551
2	2	1	PECH_000696	PDE_08552
2	2	1	PECH_000698	PDE_08553
2	2	1	PECH_000699	PDE_08554
2	2	1	PECH_000701	PDE_08555
2	2	1	PECH_000702	PDE_08556
2	2	1	PECH_000703	PDE_08558
2	2	1	PECH_000704	PDE_08559
2	2	1	PECH_000705	PDE_08560
2	2	1	PECH_000706	PDE_08562
2	2	1	PECH_000707	PDE_08563
2	2	1	PECH_000708	PDE_08564
2	2	1	PECH_000709	PDE_08565
2	2	1	PECH_000710	PDE_08566
2	2	1	PECH_000711	PDE_08567
2	2	1	PECH_000712	PDE_08569
2	2	1	PECH_000713	PDE_08570
2	2	1	PECH_000714	PDE_08572
2	2	1	PECH_000715	PDE_08573
2	2	1	PECH_000716	PDE_08576
2	2	1	PECH_000717	PDE_08577
2	2	1	PECH_000718	PDE_08578
2	2	1	PECH_000719	PDE_08579
2	2	1	PECH_000720	PDE_08580
2	2	1	PECH_000721	PDE_08581
2	2	1	PECH_000722	PDE_08582
2	2	1	PECH_000723	PDE_01332
2	2	1	PECH_000724	PDE_01331
2	2	1	PECH_000726	PDE_01330
2	2	1	PECH_000727	PDE_01329
2	2	1	PECH_000728	PDE_01328
2	2	1	PECH_000729	PDE_01327
2	2	1	PECH_000730	PDE_01326
2	2	1	PECH_000731	PDE_01325
2	2	1	PECH_000732	PDE_01324
2	2	1	PECH_000733	PDE_01322
2	2	1	PECH_000734	PDE_01321
2	2	1	PECH_000735	PDE_01320
2	2	1	PECH_000736	PDE_01318
2	2	1	PECH_000738	PDE_01316
2	2	1	PECH_000739	PDE_01315
2	2	1	PECH_000740	PDE_01314
2	2	1	PECH_000741	PDE_01313
2	2	1	PECH_000742	PDE_01312
2	2	1	PECH_000743	PDE_01310
2	2	1	PECH_000744	PDE_01309
2	2	1	PECH_000745	PDE_01308
2	2	1	PECH_000746	PDE_01306
2	2	1	PECH_000747	PDE_01305
2	2	1	PECH_000748	PDE_01304
2	2	1	PECH_000750	PDE_01303
2	2	1	PECH_000754	PDE_01301
2	2	1	PECH_000755	PDE_01300
2	2	1	PECH_000756	PDE_03500
2	2	1	PECH_000757	PDE_03499
2	2	1	PECH_000758	PDE_03498
2	2	1	PECH_000759	PDE_03497
2	2	1	PECH_000760	PDE_03496
2	2	1	PECH_000761	PDE_03495
2	2	1	PECH_000762	PDE_03493
2	2	1	PECH_000763	PDE_03491
2	2	1	PECH_000764	PDE_03490
2	2	1	PECH_000768	PDE_03488
2	2	1	PECH_000769	PDE_03487
2	2	1	PECH_000770	PDE_03486
2	2	1	PECH_000771	PDE_03485
2	2	1	PECH_000772	PDE_03484
2	2	1	PECH_000773	PDE_03483
2	2	1	PECH_000774	PDE_03482
2	2	1	PECH_000775	PDE_03481
2	2	1	PECH_000776	PDE_03480
2	2	1	PECH_000777	PDE_03479
2	2	1	PECH_000778	PDE_03478
2	2	1	PECH_000779	PDE_03475
2	2	1	PECH_000780	PDE_03474
2	2	1	PECH_000782	PDE_03472
2	2	1	PECH_000785	PDE_05880
2	2	1	PECH_000786	PDE_05879
