# Species	Genes	Alg.-Conn.	Penicillium_sp_2HH.fasta	A.nidulans_FGSC_A4_v.s10-m04-r16.fasta
2	3	0.33	PECH_000779	AN6669,AN8737
2	3	0.328	PECH_000600	AN10777,AN6433
2	3	0.33	PECH_000489,PECH_000490	AN9052
2	3	0.329	PECH_000466	AN12101,AN5228
2	3	0.325	PECH_000295	AN0526,AN7893
2	3	0.332	PECH_000292	AN10399,AN3276
2	3	0.332	PECH_000290,PECH_003527	AN8412
2	3	0.329	PECH_000289,PECH_006048	AN8459
2	3	0.326	PECH_000281	AN0610,AN8597
2	3	0.331	PECH_000239	AN0146,AN7806
2	3	0.33	PECH_000220,PECH_000772	AN0362
2	3	0.323	PECH_000162,PECH_007394	AN9172
2	3	0.328	PECH_000128	AN0550,AN8480
2	2	1	PECH_000106	AN2300
2	2	1	PECH_000108	AN2299
2	2	1	PECH_000109	AN2298
2	2	1	PECH_000110	AN2297
2	2	1	PECH_000111	AN7789
2	2	1	PECH_000112	AN7790
2	2	1	PECH_000113	AN7787
2	2	1	PECH_000114	AN7788
2	2	1	PECH_000116	AN10853
2	2	1	PECH_000117	AN11901
2	2	1	PECH_000118	AN10849
2	2	1	PECH_000119	AN10844
2	2	1	PECH_000120	AN10848
2	2	1	PECH_000105	AN2301
2	2	1	PECH_000130	AN0490
2	2	1	PECH_000131	AN10845
2	2	1	PECH_000132	AN6723
2	2	1	PECH_000134	AN6725
2	2	1	PECH_000135	AN6726
2	2	1	PECH_000136	AN6727
2	2	1	PECH_000137	AN6728
2	2	1	PECH_000138	AN6729
2	2	1	PECH_000139	AN6730
2	2	1	PECH_000140	AN6731
2	2	1	PECH_000144	AN9266
2	2	1	PECH_000145	AN6741
2	2	1	PECH_000147	AN6739
2	2	1	PECH_000148	AN6738
2	2	1	PECH_000149	AN6737
2	2	1	PECH_000150	AN6736
2	2	1	PECH_000151	AN11902
2	2	1	PECH_000152	AN6735
2	2	1	PECH_000153	AN6734
2	2	1	PECH_000154	AN8956
2	2	1	PECH_000155	AN6733
2	2	1	PECH_000156	AN6732
2	2	1	PECH_000157	AN10851
2	2	1	PECH_000104	AN2302
2	2	1	PECH_000163	AN12074
2	2	1	PECH_000165	AN0317
2	2	1	PECH_000166	AN0319
2	2	1	PECH_000167	AN10072
2	2	1	PECH_000168	AN10071
2	2	1	PECH_000169	AN0321
2	2	1	PECH_000170	AN11036
2	2	1	PECH_000171	AN0323
2	2	1	PECH_000172	AN0329
2	2	1	PECH_000173	AN0328
2	2	1	PECH_000174	AN0327
2	2	1	PECH_000176	AN0325
2	2	1	PECH_000177	AN5262
2	2	1	PECH_000180	AN0331
2	2	1	PECH_000181	AN12484
2	2	1	PECH_000182	AN0333
2	2	1	PECH_000187	AN0339
2	2	1	PECH_000188	AN0340
2	2	1	PECH_000192	AN10054
2	2	1	PECH_000193	AN10055
2	2	1	PECH_000194	AN0347
2	2	1	PECH_000196	AN0349
2	2	1	PECH_000197	AN5417
2	2	1	PECH_000198	AN3421
2	2	1	PECH_000199	AN0350
2	2	1	PECH_000200	AN0351
2	2	1	PECH_000201	AN10060
2	2	1	PECH_000202	AN0353
2	2	1	PECH_000203	AN0354
2	2	1	PECH_000205	AN0356
2	2	1	PECH_000206	AN0357
2	2	1	PECH_000209	AN9133
2	2	1	PECH_000211	AN4081
2	2	1	PECH_000212	AN10061
2	2	1	PECH_000213	AN10057
2	2	1	PECH_000214	AN0359
2	2	1	PECH_000216	AN10068
2	2	1	PECH_000217	AN0360
2	2	1	PECH_000219	AN10058
2	2	1	PECH_000103	AN2303
2	2	1	PECH_000221	AN0363
2	2	1	PECH_000224	AN0365
2	2	1	PECH_000225	AN1359
2	2	1	PECH_000226	AN1360
2	2	1	PECH_000227	AN0296
2	2	1	PECH_000228	AN3771
2	2	1	PECH_000229	AN2112
2	2	1	PECH_000230	AN1318
2	2	1	PECH_000231	AN2970
2	2	1	PECH_000232	AN7050
2	2	1	PECH_000233	AN10514
2	2	1	PECH_000235	AN5672
2	2	1	PECH_000236	AN4186
2	2	1	PECH_000237	AN8242
2	2	1	PECH_000238	AN10049
2	2	1	PECH_000102	AN2304
2	2	1	PECH_000240	AN1574
2	2	1	PECH_000241	AN12323
2	2	1	PECH_000242	AN8886
2	2	1	PECH_000243	AN2930
2	2	1	PECH_000244	AN5658
2	2	1	PECH_000246	AN8077
2	2	1	PECH_000247	AN5231
2	2	1	PECH_000248	AN5653
2	2	1	PECH_000251	AN0370
2	2	1	PECH_000252	AN10067
2	2	1	PECH_000253	AN0372
2	2	1	PECH_000254	AN10059
2	2	1	PECH_000255	AN10069
2	2	1	PECH_000256	AN9465
2	2	1	PECH_000258	AN10075
2	2	1	PECH_000259	AN10070
2	2	1	PECH_000262	AN0379
2	2	1	PECH_000263	AN0381
2	2	1	PECH_000264	AN0380
2	2	1	PECH_000267	AN0235
2	2	1	PECH_000269	AN0385
2	2	1	PECH_000270	AN0386
2	2	1	PECH_000271	AN0387
2	2	1	PECH_000272	AN0388
2	2	1	PECH_000274	AN7966
2	2	1	PECH_000276	AN11090
2	2	1	PECH_000277	AN8595
2	2	1	PECH_000278	AN8596
2	2	1	PECH_000101	AN2305
2	2	1	PECH_000282	AN12260
2	2	1	PECH_000099	AN8824
2	2	1	PECH_000098	AN8825
2	2	1	PECH_000097	AN8826
2	2	1	PECH_000293	AN8409
2	2	1	PECH_000294	AN6750
2	2	1	PECH_000096	AN8827
2	2	1	PECH_000297	AN8780
2	2	1	PECH_000298	AN6674
2	2	1	PECH_000299	AN6675
2	2	1	PECH_000300	AN6676
2	2	1	PECH_000302	AN6678
2	2	1	PECH_000303	AN6679
2	2	1	PECH_000304	AN6682
2	2	1	PECH_000305	AN6681
2	2	1	PECH_000306	AN7230
2	2	1	PECH_000310	AN6684
2	2	1	PECH_000312	AN6680
2	2	1	PECH_000313	AN10320
2	2	1	PECH_000314	AN6689
2	2	1	PECH_000315	AN6685
2	2	1	PECH_000317	AN10823
2	2	1	PECH_000318	AN10828
2	2	1	PECH_000319	AN6501
2	2	1	PECH_000320	AN10827
2	2	1	PECH_000321	AN6500
2	2	1	PECH_000322	AN6499
2	2	1	PECH_000323	AN10826
2	2	1	PECH_000324	AN10822
2	2	1	PECH_000325	AN6497
2	2	1	PECH_000326	AN6496
2	2	1	PECH_000327	AN6495
2	2	1	PECH_000328	AN6493
2	2	1	PECH_000329	AN6492
2	2	1	PECH_000330	AN6491
2	2	1	PECH_000331	AN6490
2	2	1	PECH_000332	AN6489
2	2	1	PECH_000333	AN6488
2	2	1	PECH_000334	AN6487
2	2	1	PECH_000335	AN10829
2	2	1	PECH_000336	AN6506
2	2	1	PECH_000337	AN6505
2	2	1	PECH_000338	AN6503
2	2	1	PECH_000339	AN6507
2	2	1	PECH_000340	AN10832
2	2	1	PECH_000341	AN12121
2	2	1	PECH_000342	AN10824
2	2	1	PECH_000343	AN6510
2	2	1	PECH_000346	AN6508
2	2	1	PECH_000347	AN6512
2	2	1	PECH_000348	AN6513
2	2	1	PECH_000349	AN6514
2	2	1	PECH_000350	AN6515
2	2	1	PECH_000352	AN3152
2	2	1	PECH_000353	AN5321
2	2	1	PECH_000354	AN3150
2	2	1	PECH_000355	AN11377
2	2	1	PECH_000356	AN3154
2	2	1	PECH_000357	AN3145
2	2	1	PECH_000358	AN3143
2	2	1	PECH_000359	AN3187
2	2	1	PECH_000360	AN3188
2	2	1	PECH_000361	AN12366
2	2	1	PECH_000362	AN2489
2	2	1	PECH_000363	AN2490
2	2	1	PECH_000364	AN2491
2	2	1	PECH_000365	AN2492
2	2	1	PECH_000367	AN2495
2	2	1	PECH_000368	AN2496
2	2	1	PECH_000369	AN2497
2	2	1	PECH_000370	AN2498
2	2	1	PECH_000371	AN2499
2	2	1	PECH_000372	AN2500
2	2	1	PECH_000375	AN2503
2	2	1	PECH_000376	AN2505
2	2	1	PECH_000379	AN10601
2	2	1	PECH_000381	AN8167
2	2	1	PECH_000383	AN8163
2	2	1	PECH_000384	AN8129
2	2	1	PECH_000385	AN9506
2	2	1	PECH_000386	AN12449
2	2	1	PECH_000389	AN8117
2	2	1	PECH_000390	AN2133
2	2	1	PECH_000391	AN12489
2	2	1	PECH_000394	AN3097
2	2	1	PECH_000395	AN10178
2	2	1	PECH_000396	AN2130
2	2	1	PECH_000397	AN2129
2	2	1	PECH_000398	AN2128
2	2	1	PECH_000399	AN11180
2	2	1	PECH_000400	AN7360
2	2	1	PECH_000401	AN7361
2	2	1	PECH_000402	AN7348
2	2	1	PECH_000404	AN7347
2	2	1	PECH_000405	AN7350
2	2	1	PECH_000406	AN7352
2	2	1	PECH_000407	AN7353
2	2	1	PECH_000408	AN7354
2	2	1	PECH_000409	AN10936
2	2	1	PECH_000410	AN7356
2	2	1	PECH_000411	AN7357
2	2	1	PECH_000413	AN2132
2	2	1	PECH_000415	AN2135
2	2	1	PECH_000416	AN2136
2	2	1	PECH_000418	AN2137
2	2	1	PECH_000419	AN2138
2	2	1	PECH_000420	AN2139
2	2	1	PECH_000421	AN2140
2	2	1	PECH_000422	AN12197
2	2	1	PECH_000423	AN2141
2	2	1	PECH_000424	AN2142
2	2	1	PECH_000425	AN2143
2	2	1	PECH_000426	AN2144
2	2	1	PECH_000427	AN2147
2	2	1	PECH_000428	AN2148
2	2	1	PECH_000429	AN2146
2	2	1	PECH_000430	AN2149
2	2	1	PECH_000431	AN2150
2	2	1	PECH_000432	AN2151
2	2	1	PECH_000434	AN2153
2	2	1	PECH_000435	AN2154
2	2	1	PECH_000436	AN2155
2	2	1	PECH_000437	AN5324
2	2	1	PECH_000438	AN10390
2	2	1	PECH_000439	AN2157
2	2	1	PECH_000440	AN10474
2	2	1	PECH_000443	AN10269
2	2	1	PECH_000444	AN10265
2	2	1	PECH_000445	AN2160
2	2	1	PECH_000446	AN2161
2	2	1	PECH_000447	AN10567
2	2	1	PECH_000448	AN10564
2	2	1	PECH_000449	AN4534
2	2	1	PECH_000450	AN4535
2	2	1	PECH_000452	AN4536
2	2	1	PECH_000453	AN4537
2	2	1	PECH_000454	AN4538
2	2	1	PECH_000455	AN3793
2	2	1	PECH_000457	AN3788
2	2	1	PECH_000458	AN3789
2	2	1	PECH_000459	AN3790
2	2	1	PECH_000460	AN3787
2	2	1	PECH_000463	AN3785
2	2	1	PECH_000464	AN5230
2	2	1	PECH_000095	AN8828
2	2	1	PECH_000469	AN0576
2	2	1	PECH_000472	AN0579
2	2	1	PECH_000473	AN0580
2	2	1	PECH_000474	AN0581
2	2	1	PECH_000475	AN0582
2	2	1	PECH_000476	AN0583
2	2	1	PECH_000477	AN0698
2	2	1	PECH_000478	AN0699
2	2	1	PECH_000479	AN0697
2	2	1	PECH_000480	AN0696
2	2	1	PECH_000481	AN0695
2	2	1	PECH_000482	AN0694
2	2	1	PECH_000483	AN0693
2	2	1	PECH_000484	AN0692
2	2	1	PECH_000485	AN0691
2	2	1	PECH_000486	AN0690
2	2	1	PECH_000487	AN0689
2	2	1	PECH_000488	AN4277
2	2	1	PECH_000093	AN8830
2	2	1	PECH_000493	AN8497
2	2	1	PECH_000494	AN0688
2	2	1	PECH_000495	AN6215
2	2	1	PECH_000496	AN0649
2	2	1	PECH_000499	AN0651
2	2	1	PECH_000501	AN0653
2	2	1	PECH_000502	AN0654
2	2	1	PECH_000503	AN0655
2	2	1	PECH_000504	AN0656
2	2	1	PECH_000505	AN0657
2	2	1	PECH_000507	AN0658
2	2	1	PECH_000508	AN0659
2	2	1	PECH_000509	AN11278
2	2	1	PECH_000510	AN0660
2	2	1	PECH_000511	AN0664
2	2	1	PECH_000513	AN8593
2	2	1	PECH_000515	AN9127
2	2	1	PECH_000518	AN2405
2	2	1	PECH_000520	AN5000
2	2	1	PECH_000523	AN3357
2	2	1	PECH_000524	AN9276
2	2	1	PECH_000525	AN8990
2	2	1	PECH_000531	AN3359
2	2	1	PECH_000532	AN10081
2	2	1	PECH_000533	AN3405
2	2	1	PECH_000534	AN5550
2	2	1	PECH_000535	AN3377
2	2	1	PECH_000536	AN6780
2	2	1	PECH_000537	AN10396
2	2	1	PECH_000538	AN3375
2	2	1	PECH_000540	AN5566
2	2	1	PECH_000543	AN7225
2	2	1	PECH_000544	AN10910
2	2	1	PECH_000545	AN8470
2	2	1	PECH_000546	AN7227
2	2	1	PECH_000547	AN3374
2	2	1	PECH_000548	AN3373
2	2	1	PECH_000549	AN3372
2	2	1	PECH_000550	AN3370
2	2	1	PECH_000552	AN9398
2	2	1	PECH_000553	AN9399
2	2	1	PECH_000554	AN9400
2	2	1	PECH_000555	AN9401
2	2	1	PECH_000556	AN9402
2	2	1	PECH_000558	AN9403
2	2	1	PECH_000559	AN9404
2	2	1	PECH_000560	AN9405
2	2	1	PECH_000561	AN9406
2	2	1	PECH_000562	AN9407
2	2	1	PECH_000563	AN9408
2	2	1	PECH_000564	AN11832
2	2	1	PECH_000568	AN9409
2	2	1	PECH_000570	AN9410
2	2	1	PECH_000571	AN1404
2	2	1	PECH_000572	AN5797
2	2	1	PECH_000573	AN8293
2	2	1	PECH_000574	AN8292
2	2	1	PECH_000575	AN10865
2	2	1	PECH_000579	AN9054
2	2	1	PECH_000585	AN2925
2	2	1	PECH_000587	AN2919
2	2	1	PECH_000588	AN10350
2	2	1	PECH_000589	AN10360
2	2	1	PECH_000592	AN10361
2	2	1	PECH_000593	AN10362
2	2	1	PECH_000594	AN2944
2	2	1	PECH_000595	AN11691
2	2	1	PECH_000596	AN2926
2	2	1	PECH_000597	AN2927
2	2	1	PECH_000598	AN2928
2	2	1	PECH_000090	AN8831
2	2	1	PECH_000601	AN10374
2	2	1	PECH_000603	AN2932
2	2	1	PECH_000604	AN2933
2	2	1	PECH_000605	AN2934
2	2	1	PECH_000606	AN2935
2	2	1	PECH_000607	AN2936
2	2	1	PECH_000609	AN2937
2	2	1	PECH_000610	AN5591
2	2	1	PECH_000611	AN5592
2	2	1	PECH_000612	AN5593
2	2	1	PECH_000614	AN5595
2	2	1	PECH_000615	AN5596
2	2	1	PECH_000617	AN5598
2	2	1	PECH_000619	AN5599
2	2	1	PECH_000620	AN5600
2	2	1	PECH_000621	AN5601
2	2	1	PECH_000622	AN5602
2	2	1	PECH_000623	AN5603
2	2	1	PECH_000626	AN5604
2	2	1	PECH_000627	AN5606
2	2	1	PECH_000629	AN0987
2	2	1	PECH_000631	AN3678
2	2	1	PECH_000632	AN3677
2	2	1	PECH_000633	AN3675
2	2	1	PECH_000634	AN3674
2	2	1	PECH_000639	AN8654
2	2	1	PECH_000640	AN3665
2	2	1	PECH_000642	AN3666
2	2	1	PECH_000643	AN3671
2	2	1	PECH_000644	AN3670
2	2	1	PECH_000645	AN3669
2	2	1	PECH_000646	AN3668
2	2	1	PECH_000649	AN3667
2	2	1	PECH_000651	AN3673
2	2	1	PECH_000652	AN3664
2	2	1	PECH_000653	AN3663
2	2	1	PECH_000654	AN10452
2	2	1	PECH_000655	AN3661
2	2	1	PECH_000657	AN10434
2	2	1	PECH_000658	AN11722
2	2	1	PECH_000659	AN10451
2	2	1	PECH_000660	AN3659
2	2	1	PECH_000661	AN3658
2	2	1	PECH_000662	AN3657
2	2	1	PECH_000663	AN3656
2	2	1	PECH_000664	AN3655
2	2	1	PECH_000665	AN11721
2	2	1	PECH_000666	AN10264
2	2	1	PECH_000667	AN3652
2	2	1	PECH_000668	AN3651
2	2	1	PECH_000669	AN3650
2	2	1	PECH_000670	AN3649
2	2	1	PECH_000671	AN3648
2	2	1	PECH_000672	AN11720
2	2	1	PECH_000673	AN10450
2	2	1	PECH_000674	AN10449
2	2	1	PECH_000675	AN10433
2	2	1	PECH_000676	AN3646
2	2	1	PECH_000677	AN3645
2	2	1	PECH_000678	AN3644
2	2	1	PECH_000679	AN3643
2	2	1	PECH_000680	AN3642
2	2	1	PECH_000681	AN3641
2	2	1	PECH_000682	AN3639
2	2	1	PECH_000683	AN3243
2	2	1	PECH_000684	AN9285
2	2	1	PECH_000685	AN5015
2	2	1	PECH_000686	AN8829
2	2	1	PECH_000688	AN3636
2	2	1	PECH_000689	AN3635
2	2	1	PECH_000690	AN3634
2	2	1	PECH_000691	AN11406
2	2	1	PECH_000692	AN3632
2	2	1	PECH_000694	AN3629
2	2	1	PECH_000695	AN11718
2	2	1	PECH_000696	AN3628
2	2	1	PECH_000698	AN10453
2	2	1	PECH_000699	AN5529
2	2	1	PECH_000701	AN5530
2	2	1	PECH_000702	AN5531
2	2	1	PECH_000703	AN5533
2	2	1	PECH_000704	AN5532
2	2	1	PECH_000705	AN5534
2	2	1	PECH_000706	AN5535
2	2	1	PECH_000707	AN5536
2	2	1	PECH_000708	AN10678
2	2	1	PECH_000709	AN10695
2	2	1	PECH_000710	AN5561
2	2	1	PECH_000711	AN10696
2	2	1	PECH_000712	AN5737
2	2	1	PECH_000713	AN10694
2	2	1	PECH_000714	AN5563
2	2	1	PECH_000715	AN5564
2	2	1	PECH_000716	AN5568
2	2	1	PECH_000717	AN5569
2	2	1	PECH_000718	AN12299
2	2	1	PECH_000719	AN5570
2	2	1	PECH_000720	AN5571
2	2	1	PECH_000721	AN5572
2	2	1	PECH_000722	AN3627
2	2	1	PECH_000723	AN7173
2	2	1	PECH_000724	AN7177
2	2	1	PECH_000726	AN1723
2	2	1	PECH_000727	AN2476
2	2	1	PECH_000728	AN7185
2	2	1	PECH_000729	AN12151
2	2	1	PECH_000730	AN7184
2	2	1	PECH_000731	AN7182
2	2	1	PECH_000732	AN3901
2	2	1	PECH_000733	AN2475
2	2	1	PECH_000734	AN2474
2	2	1	PECH_000735	AN2473
2	2	1	PECH_000736	AN7782
2	2	1	PECH_000739	AN2360
2	2	1	PECH_000740	AN8488
2	2	1	PECH_000741	AN2482
2	2	1	PECH_000743	AN3415
2	2	1	PECH_000744	AN2484
2	2	1	PECH_000745	AN10313
2	2	1	PECH_000746	AN2485
2	2	1	PECH_000747	AN11344
2	2	1	PECH_000748	AN2487
2	2	1	PECH_000749	AN7737
2	2	1	PECH_000750	AN2488
2	2	1	PECH_000754	AN2481
2	2	1	PECH_000755	AN2480
2	2	1	PECH_000756	AN8726
2	2	1	PECH_000757	AN8727
2	2	1	PECH_000759	AN6642
2	2	1	PECH_000760	AN6645
2	2	1	PECH_000761	AN6644
2	2	1	PECH_000763	AN0949
2	2	1	PECH_000764	AN6643
2	2	1	PECH_000768	AN6649
2	2	1	PECH_000769	AN6650
2	2	1	PECH_000770	AN6651
2	2	1	PECH_000771	AN6652
2	2	1	PECH_000773	AN6653
2	2	1	PECH_000774	AN6657
2	2	1	PECH_000775	AN6658
2	2	1	PECH_000777	AN12119
2	2	1	PECH_000089	AN8832
2	2	1	PECH_000088	AN8834
2	2	1	PECH_000782	AN4815
2	2	1	PECH_000785	AN9103
2	2	1	PECH_000786	AN9102
2	2	1	PECH_000787	AN9101
2	2	1	PECH_000788	AN9100
2	2	1	PECH_000790	AN11174
2	2	1	PECH_000796	AN11164
2	2	1	PECH_000799	AN9098
2	2	1	PECH_000800	AN9097
2	2	1	PECH_000802	AN9095
2	2	1	PECH_000803	AN9094
2	2	1	PECH_000804	AN9093
2	2	1	PECH_000805	AN11930
2	2	1	PECH_000806	AN11929
2	2	1	PECH_000807	AN9091
2	2	1	PECH_000808	AN9090
2	2	1	PECH_000811	AN9087
2	2	1	PECH_000812	AN9086
2	2	1	PECH_000813	AN9085
2	2	1	PECH_000814	AN11163
2	2	1	PECH_000819	AN7222
2	2	1	PECH_000820	AN9352
2	2	1	PECH_000822	AN5915
2	2	1	PECH_000823	AN5916
2	2	1	PECH_000825	AN5917
2	2	1	PECH_000826	AN5855
2	2	1	PECH_000828	AN1987
2	2	1	PECH_000829	AN1988
2	2	1	PECH_000830	AN12319
2	2	1	PECH_000831	AN1989
2	2	1	PECH_000832	AN1990
2	2	1	PECH_000834	AN10255
2	2	1	PECH_000835	AN10249
2	2	1	PECH_000836	AN1992
2	2	1	PECH_000837	AN1993
2	2	1	PECH_000087	AN11125
2	2	1	PECH_000840	AN2669
2	2	1	PECH_000841	AN9311
2	2	1	PECH_000843	AN9305
2	2	1	PECH_000844	AN1996
2	2	1	PECH_000845	AN1995
2	2	1	PECH_000846	AN2420
2	2	1	PECH_000847	AN2423
2	2	1	PECH_000848	AN9509
2	2	1	PECH_000852	AN2427
2	2	1	PECH_000853	AN10307
2	2	1	PECH_000855	AN8764
2	2	1	PECH_000856	AN2425
2	2	1	PECH_000086	AN11127
2	2	1	PECH_000858	AN10420
2	2	1	PECH_000859	AN10423
2	2	1	PECH_000864	AN2626
2	2	1	PECH_000869	AN8327
2	2	1	PECH_000870	AN6172
2	2	1	PECH_000871	AN0918
2	2	1	PECH_000872	AN0917
2	2	1	PECH_000873	AN0914
2	2	1	PECH_000874	AN0913
2	2	1	PECH_000875	AN0912
2	2	1	PECH_000876	AN0911
2	2	1	PECH_000877	AN0828
2	2	1	PECH_000878	AN0827
2	2	1	PECH_000879	AN0825
2	2	1	PECH_000880	AN0824
2	2	1	PECH_000881	AN0829
2	2	1	PECH_000883	AN0831
2	2	1	PECH_000885	AN0832
2	2	1	PECH_000886	AN0833
2	2	1	PECH_000887	AN0834
2	2	1	PECH_000888	AN0835
2	2	1	PECH_000890	AN0836
2	2	1	PECH_000891	AN0837
2	2	1	PECH_000892	AN12112
2	2	1	PECH_000894	AN10125
2	2	1	PECH_000896	AN0937
2	2	1	PECH_000899	AN0938
2	2	1	PECH_000900	AN0939
2	2	1	PECH_000901	AN0940
2	2	1	PECH_000902	AN0932
2	2	1	PECH_000904	AN2418
2	2	1	PECH_000905	AN2417
2	2	1	PECH_000906	AN2416
2	2	1	PECH_000907	AN2415
2	2	1	PECH_000908	AN2414
2	2	1	PECH_000909	AN3588
2	2	1	PECH_000910	AN11715
2	2	1	PECH_000911	AN3587
2	2	1	PECH_000912	AN0046
2	2	1	PECH_000913	AN3586
2	2	1	PECH_000914	AN3584
2	2	1	PECH_000915	AN3583
2	2	1	PECH_000916	AN3582
2	2	1	PECH_000917	AN3581
2	2	1	PECH_000918	AN3580
2	2	1	PECH_000919	AN3579
2	2	1	PECH_000920	AN3578
2	2	1	PECH_000921	AN3576
2	2	1	PECH_000924	AN4150
2	2	1	PECH_000925	AN4159
2	2	1	PECH_000926	AN8812
2	2	1	PECH_000927	AN8814
2	2	1	PECH_000929	AN8813
2	2	1	PECH_000930	AN8817
2	2	1	PECH_000931	AN8120
2	2	1	PECH_000932	AN8119
2	2	1	PECH_000933	AN8118
2	2	1	PECH_000934	AN3037
2	2	1	PECH_000935	AN3895
2	2	1	PECH_000936	AN4061
2	2	1	PECH_000937	AN4060
2	2	1	PECH_000938	AN4057
2	2	1	PECH_000939	AN4058
2	2	1	PECH_000940	AN4056
2	2	1	PECH_000941	AN4055
2	2	1	PECH_000942	AN7960
2	2	1	PECH_000943	AN4053
2	2	1	PECH_000944	AN4052
2	2	1	PECH_000945	AN4050
2	2	1	PECH_000946	AN4051
2	2	1	PECH_000949	AN11425
2	2	1	PECH_000950	AN4026
2	2	1	PECH_000951	AN4025
2	2	1	PECH_000952	AN4024
2	2	1	PECH_000953	AN4023
2	2	1	PECH_000954	AN4022
2	2	1	PECH_000955	AN4021
2	2	1	PECH_000956	AN4020
2	2	1	PECH_000957	AN4019
2	2	1	PECH_000958	AN4018
2	2	1	PECH_000959	AN4027
2	2	1	PECH_000960	AN4028
2	2	1	PECH_000963	AN2775
2	2	1	PECH_000964	AN2773
2	2	1	PECH_000965	AN2772
2	2	1	PECH_000966	AN2771
2	2	1	PECH_000967	AN2770
2	2	1	PECH_000968	AN3422
2	2	1	PECH_000969	AN3423
2	2	1	PECH_000970	AN3424
2	2	1	PECH_000972	AN3425
2	2	1	PECH_000973	AN10406
2	2	1	PECH_000974	AN10408
2	2	1	PECH_000975	AN3427
2	2	1	PECH_000976	AN10409
2	2	1	PECH_000977	AN10407
2	2	1	PECH_000978	AN3432
2	2	1	PECH_000979	AN3433
2	2	1	PECH_000980	AN3435
2	2	1	PECH_000981	AN3430
2	2	1	PECH_000982	AN3390
