# Species	Genes	Alg.-Conn.	Pucsensis_2HH.fasta	Scerevisiae_S288C.fasta
2	3	0.332	PECH_004016	YJL177W,YKL180W
2	3	0.332	PECH_004286	YJL172W,YOL153C
2	3	0.327	PECH_004693	YAL054C,YLR153C
2	3	0.333	PECH_001218	YBL106C,YPR032W
2	3	0.331	PECH_005374	YBR001C,YDR001C
2	3	0.333	PECH_000603	YJL138C,YKR059W
2	3	0.333	PECH_005715	YJL136C,YKR057W
2	3	0.327	PECH_008296	YJL134W,YKR053C
2	3	0.329	PECH_004456	YJL133W,YKR052C
2	3	0.332	PECH_000213	YJL079C,YKR013W
2	4	0.497	PECH_004715,PECH_007955	YBR009C,YNL030W
2	3	0.333	PECH_007954	YBR010W,YNL031C
2	3	0.332	PECH_007508	YJL045W,YKL148C
2	3	0.332	PECH_002853	YNL098C,YOR101W
2	3	0.329	PECH_000773	YIR031C,YNL117W
2	3	0.327	PECH_001652,PECH_004702	YIL160C
2	3	0.33	PECH_008953	YIL133C,YNL069C
2	3	0.329	PECH_003492	YIL126W,YOR290C
2	3	0.33	PECH_003556	YNL104C,YOR108W
2	3	0.333	PECH_005396	YIL105C,YNL047C
2	3	0.328	PECH_003146	YBR024W,YBR037C
2	3	0.332	PECH_003411	YIL085C,YNL029C
2	3	0.325	PECH_005301,PECH_005870	YIL067C
2	3	0.328	PECH_006817	YIL035C,YOR061W
2	3	0.327	PECH_001493	YNL106C,YOR109W
2	3	0.333	PECH_005296	YBR031W,YDR012W
2	3	0.331	PECH_000978	YHR210C,YNR071C
2	3	0.331	PECH_008486	YHR208W,YJR148W
2	3	0.333	PECH_004250	YHR203C,YJR145C
2	3	0.327	PECH_000466	YHR179W,YPL171C
2	3	0.333	PECH_005230	YHR141C,YNL162W
2	3	0.331	PECH_007014	YHR135C,YNL154C
2	3	0.328	PECH_004551	YHR123W,YNL130C
2	3	0.333	PECH_005749,PECH_007149	YHR112C
2	3	0.333	PECH_006990	YBR048W,YDR025W
2	3	0.333	PECH_004552	YHR021C,YKL156W
2	3	0.327	PECH_000284	YBR054W,YDR033W
2	3	0.327	PECH_008389	YHR001W,YKR003W
2	3	0.332	PECH_005973	YHL033C,YLL045C
2	3	0.326	PECH_004658,PECH_007994	YHL032C
2	3	0.332	PECH_002910	YHL001W,YKL006W
2	3	0.327	PECH_002563	YGR279C,YMR305C
2	3	0.327	PECH_000258,PECH_008360	YGR260W
2	3	0.329	PECH_004196	YGR256W,YHR183W
2	3	0.331	PECH_007028	YGR254W,YHR174W
2	3	0.326	PECH_007167	YGR240C,YMR205C
2	3	0.324	PECH_000705,PECH_004015	YNL274C
2	3	0.333	PECH_006891	YGR214W,YLR048W
2	3	0.332	PECH_000937	YNL302C,YOL121C
2	3	0.331	PECH_002474	YBR082C,YDR059C
2	3	0.333	PECH_000039	YBR084W,YGR204W
2	3	0.328	PECH_007120	YGR197C,YJR015W
2	3	0.328	PECH_002679,PECH_006433	YNL331C
2	3	0.332	PECH_008760	YBR089C-A,YPR052C
2	3	0.328	PECH_007920	YBR093C,YHR215W
2	3	0.332	PECH_001753	YGR124W,YPR145W
2	3	0.33	PECH_002986	YGR121C,YPR138C
2	3	0.333	PECH_008077	YGR118W,YPR132W
2	3	0.326	PECH_000671	YGR108W,YPR119W
2	3	0.327	PECH_001419	YGR092W,YPR111W
2	3	0.328	PECH_004516	YOL055C,YPL258C
2	3	0.327	PECH_006985	YGR086C,YPL004C
2	3	0.333	PECH_002395	YGR085C,YPR102C
2	3	0.326	PECH_007651	YGR056W,YLR357W
2	3	0.332	PECH_008934	YGR034W,YLR344W
2	3	0.333	PECH_002565	YGR032W,YLR342W
2	3	0.333	PECH_005019	YBR118W,YPR080W
2	3	0.327	PECH_000176,PECH_003948	YGR031W
2	3	0.333	PECH_001162	YGR027C,YLR333C
2	3	0.333	PECH_008686	YGR010W,YLR328W
2	3	0.332	PECH_000256	YGL147C,YNL067W
2	3	0.333	PECH_001109	YGL135W,YPL220W
2	3	0.332	PECH_002420	YGL076C,YPL198W
2	3	0.327	PECH_005862	YGL038C,YJR075W
2	3	0.33	PECH_002708	YGL031C,YGR148C
2	3	0.332	PECH_003633,PECH_007835	YGL026C
2	4	0.494	PECH_003220,PECH_008585	YGL008C,YPL036W
2	3	0.326	PECH_001956,PECH_006932	YGL006W
2	3	0.331	PECH_002800	YFR053C,YGL253W
2	3	0.333	PECH_003495	YFR031C-A,YIL018W
2	3	0.33	PECH_007745	YFR024C-A,YHR016C
2	3	0.329	PECH_008548	YFR015C,YLR258W
2	3	0.327	PECH_002807	YFR014C,YOL016C
2	3	0.324	PECH_006976	YAL038W,YOR347C
2	3	0.325	PECH_003348	YFL053W,YML070W
2	3	0.331	PECH_001464	YBR161W,YPL057C
2	3	0.331	PECH_004827	YFL004W,YPL019C
2	3	0.333	PECH_003226	YOL119C,YOR306C
2	3	0.331	PECH_001649	YBR169C,YPL106C
2	3	0.332	PECH_008941	YER131W,YGL189C
2	3	0.332	PECH_003460	YER081W,YIL074C
2	3	0.333	PECH_000800	YER074W,YIL069C
2	3	0.327	PECH_007365	YER073W,YOR374W
2	3	0.332	PECH_004903	YER062C,YIL053W
2	3	0.333	PECH_008124	YBR181C,YPL090C
2	3	0.333	PECH_005777	YER057C,YIL051C
2	3	0.332	PECH_006053	YER056C-A,YIL052C
2	3	0.332	PECH_004262	YBR189W,YPL081W
2	3	0.333	PECH_004261	YBR191W,YPL079W
2	4	0.489	PECH_002490,PECH_005093	YER056C,YER060W
2	3	0.33	PECH_002241,PECH_002274	YER053C
2	3	0.325	PECH_000194	YER031C,YGL210W
2	3	0.333	PECH_001671	YER027C,YGL208W
2	3	0.325	PECH_003909,PECH_008693	YER004W
2	3	0.333	PECH_001286	YEL070W,YNR073C
2	3	0.332	PECH_003434,PECH_003617	YOL137W
2	3	0.329	PECH_002618	YEL047C,YJR051W
2	3	0.33	PECH_008922	YBR214W,YGL056C
2	3	0.332	PECH_002397	YBR218C,YGL062W
2	3	0.327	PECH_003342	YEL041W,YJR049C
2	3	0.329	PECH_002046	YEL039C,YJR048W
2	3	0.326	PECH_000375,PECH_008923	YOR197W
2	3	0.333	PECH_005782	YEL034W,YJR047C
2	3	0.326	PECH_005103	YEL030W,YJR045C
2	3	0.332	PECH_003583	YEL029C,YNR027W
2	3	0.325	PECH_001739	YEL006W,YIL006W
2	3	0.333	PECH_006711	YOR204W,YPL119C
2	3	0.33	PECH_004493	YDR502C,YLR180W
2	3	0.331	PECH_004243	YDR500C,YLR185W
2	3	0.333	PECH_008479	YDR497C,YOL103W
2	3	0.331	PECH_005022	YDR471W,YHR010W
2	3	0.325	PECH_004576	YBR242W,YGL101W
2	3	0.333	PECH_006098	YDR450W,YML026C
2	3	0.325	PECH_007802	YBR244W,YIR037W
2	3	0.33	PECH_005367	YBR245C,YOR304W
2	3	0.333	PECH_005133	YDR447C,YML024W
2	3	0.331	PECH_000570	YDR444W,YGL144C
2	3	0.33	PECH_003551	YOR222W,YPL134C
2	3	0.333	PECH_001184	YDR418W,YEL054C
2	3	0.327	PECH_008268	YAL023C,YOR321W
2	3	0.333	PECH_004727	YDR385W,YOR133W
2	3	0.329	PECH_005119	YDR382W,YOL039W
2	3	0.326	PECH_005126	YDR368W,YOR120W
2	3	0.332	PECH_000917	YDR353W,YHR106W
2	3	0.328	PECH_001738	YOR226C,YPL135W
2	3	0.326	PECH_000474	YDR338C,YHR032W
2	3	0.33	PECH_008507	YBR267W,YLR387C
2	3	0.329	PECH_005032	YDR312W,YHR066W
2	3	0.331	PECH_004769	YOR231W,YPL140C
2	3	0.332	PECH_006030	YDR099W,YER177W
2	3	0.332	PECH_004397	YDR098C,YER174C
2	3	0.329	PECH_002660	YDR093W,YER166W
2	3	0.333	PECH_002237	YOR234C,YPL143W
2	3	0.327	PECH_008773	YOR237W,YPL145C
2	3	0.331	PECH_000452	YAL017W,YOL045W
2	3	0.333	PECH_000233,PECH_003923	YOR246C
2	3	0.331	PECH_004328	YBR294W,YLR092W
2	3	0.321	PECH_000154,PECH_001341	YBR296C
2	3	0.326	PECH_004667,PECH_006432	YPL088W
2	3	0.33	PECH_001770,PECH_004266	YPR157W
2	3	0.333	PECH_002217	YDL229W,YNL209W
2	3	0.328	PECH_003176,PECH_007974	YPR198W
2	3	0.332	PECH_001111	YDL137W,YDL192W
2	3	0.331	PECH_005397	YCL011C,YNL004W
2	3	0.333	PECH_004898	YDL136W,YDL191W
2	3	0.333	PECH_008801	YDL134C,YDL188C
2	3	0.331	PECH_000832	YDL131W,YDL182W
2	3	0.329	PECH_008155	YDL113C,YDR425W
2	3	0.333	PECH_004520	YDL083C,YMR143W
2	3	0.331	PECH_006332	YDL082W,YMR142C
2	3	0.333	PECH_005999	YDL075W,YLR406C
2	3	0.332	PECH_000038	YDL066W,YLR174W
2	3	0.33	PECH_000674	YDL042C,YOL068C
2	3	0.328	PECH_000409	YDL036C,YOL066C
2	3	0.331	PECH_000200	YDL022W,YOL059W
2	3	0.329	PECH_004783,PECH_006731	YPR201W
2	3	0.327	PECH_008272	YCR094W,YNR048W
2	3	0.332	PECH_007220	YCR073W-A,YNR034W
2	3	0.331	PECH_000389	YCR034W,YLR372W
2	3	0.333	PECH_005148	YCR031C,YJL191W
2	3	0.328	PECH_006996	YCR010C,YNR002C
2	3	0.328	PECH_005016	YCL064C,YIL167W
2	2	1	PECH_007062	YCR002C
2	2	1	PECH_000093	YCR008W
2	2	1	PECH_000090	YCR009C
2	2	1	PECH_004609	YCL059C
2	2	1	PECH_008011	YCR011C
2	2	1	PECH_004871	YCR012W
2	2	1	PECH_004895	YCR014C
2	2	1	PECH_002174	YCR017C
2	2	1	PECH_004069	YCR019W
2	2	1	PECH_006546	YCR023C
2	2	1	PECH_008816	YCR024C
2	2	1	PECH_004419	YCR026C
2	2	1	PECH_003462	YCR027C
2	2	1	PECH_003991	YCR028C
2	2	1	PECH_008440	YCR028C-A
2	2	1	PECH_000141	YCL057W
2	2	1	PECH_000509	YCL057C-A
2	2	1	PECH_003025	YCR036W
2	2	1	PECH_005198	YCR042C
2	2	1	PECH_005037	YCR044C
2	2	1	PECH_005834	YCR046C
2	2	1	PECH_006779	YCR047C
2	2	1	PECH_002608	YCR051W
2	2	1	PECH_003165	YCR053W
2	2	1	PECH_005285	YCR057C
2	2	1	PECH_005299	YCR059C
2	2	1	PECH_000053	YCR063W
2	2	1	PECH_005428	YCR066W
2	2	1	PECH_001865	YCR068W
2	2	1	PECH_000219	YCR072C
2	2	1	PECH_003421	YCL054W
2	2	1	PECH_001197	YCR075C
2	2	1	PECH_003099	YCR077C
2	2	1	PECH_003883	YCR083W
2	2	1	PECH_000337	YCR084C
2	2	1	PECH_004232	YCR088W
2	2	1	PECH_001052	YCR090C
2	2	1	PECH_008920	YCR091W
2	2	1	PECH_001096	YCR092C
2	2	1	PECH_001548	YCR093W
2	2	1	PECH_006686	YCL047C
2	2	1	PECH_008377	YCR098C
2	2	1	PECH_005319	YCL045C
2	2	1	PECH_002272	YDL001W
2	2	1	PECH_001193	YDL004W
2	2	1	PECH_003674	YDL006W
2	2	1	PECH_003875	YDL007W
2	2	1	PECH_005728	YDL008W
2	2	1	PECH_003998	YDL014W
2	2	1	PECH_008119	YDL015C
2	2	1	PECH_007649	YDL017W
2	2	1	PECH_001813	YCL043C
2	2	1	PECH_006294	YDL024C
2	2	1	PECH_002827	YDL029W
2	2	1	PECH_006126	YDL030W
2	2	1	PECH_000476	YDL031W
2	2	1	PECH_002680	YCL040W
2	2	1	PECH_000696	YDL040C
2	2	1	PECH_001814	YCL038C
2	2	1	PECH_000701	YDL043C
2	2	1	PECH_004072	YDL045C
2	2	1	PECH_005808	YDL045W-A
2	2	1	PECH_004618	YDL046W
2	2	1	PECH_007390	YDL047W
2	2	1	PECH_001647	YDL051W
2	2	1	PECH_001882	YDL052C
2	2	1	PECH_003692	YDL054C
2	2	1	PECH_004655	YDL055C
2	2	1	PECH_000356	YDL056W
2	2	1	PECH_002075	YDL060W
2	2	1	PECH_001754	YDL064W
2	2	1	PECH_002894	YCL034W
2	2	1	PECH_007272	YDL067C
2	2	1	PECH_005655	YDL072C
2	2	1	PECH_002980	YDL074C
2	2	1	PECH_007752	YCL033C
2	2	1	PECH_005013	YDL081C
2	2	1	PECH_004042	YCL030C
2	2	1	PECH_001530	YCL026C-B
2	2	1	PECH_002719	YDL084W
2	2	1	PECH_004795	YDL086W
2	2	1	PECH_008702	YDL087C
2	2	1	PECH_001384	YDL090C
2	2	1	PECH_004006	YDL091C
2	2	1	PECH_007570	YDL095W
2	2	1	PECH_005026	YDL097C
2	2	1	PECH_003981	YDL098C
2	2	1	PECH_001206	YDL100C
2	2	1	PECH_001501	YDL101C
2	2	1	PECH_005436	YDL102W
2	2	1	PECH_000803	YDL103C
2	2	1	PECH_000297	YDL104C
2	2	1	PECH_001498	YDL108W
2	2	1	PECH_002049	YDL111C
2	2	1	PECH_003193	YCL026C-A
2	2	1	PECH_005028	YDL114W
2	2	1	PECH_000653	YDL119C
2	2	1	PECH_008094	YDL120W
2	2	1	PECH_008264	YDL124W
2	2	1	PECH_001118	YDL125C
2	2	1	PECH_005409	YDL126C
2	2	1	PECH_005806	YDL128W
2	2	1	PECH_000875	YCL018W
2	2	1	PECH_001821	YDL132W
2	2	1	PECH_007256	YCL017C
2	2	1	PECH_006513	YDL135C
2	2	1	PECH_000320	YCL012C
2	2	1	PECH_001696	YCL009C
2	2	1	PECH_005478	YCL004W
2	2	1	PECH_005642	YDL140C
2	2	1	PECH_002027	YDL141W
2	2	1	PECH_002975	YDL142C
2	2	1	PECH_007510	YDL143W
2	2	1	PECH_004517	YDL144C
2	2	1	PECH_003172	YDL145C
2	2	1	PECH_002556	YDL146W
2	2	1	PECH_004238	YDL147W
2	2	1	PECH_006763	YDL148C
2	2	1	PECH_002558	YDL149W
2	2	1	PECH_005591	YDL153C
2	2	1	PECH_005592	YDL154W
2	2	1	PECH_002561	YDL156W
2	2	1	PECH_000968	YDL159W
2	2	1	PECH_007638	YDL160C
2	2	1	PECH_006291	YDL164C
2	2	1	PECH_003453	YDL166C
2	2	1	PECH_007192	YDL168W
2	2	1	PECH_004835	YDL171C
2	2	1	PECH_003289	YDL174C
2	2	1	PECH_006138	YDL178W
2	2	1	PECH_001824	YDL183C
2	2	1	PECH_006131	YDL185W
2	2	1	PECH_006683	YDL190C
2	2	1	PECH_001578	YDL193W
2	2	1	PECH_002065	YDL195W
2	2	1	PECH_004844	YDL198C
2	2	1	PECH_000659	YDL201W
2	2	1	PECH_003547	YDL205C
2	2	1	PECH_005509	YDL209C
2	2	1	PECH_005493	YDL210W
2	2	1	PECH_008039	YDL212W
2	2	1	PECH_001774	YDL215C
2	2	1	PECH_006141	YDL217C
2	2	1	PECH_003186	YDL219W
2	2	1	PECH_003889	YDL226C
2	2	1	PECH_000822	YCL001W
2	2	1	PECH_008341	YDL230W
2	2	1	PECH_002923	YDL234C
2	2	1	PECH_000231	YDL236W
2	2	1	PECH_003314	YDL237W
2	2	1	PECH_007855	YDL238C
2	2	1	PECH_005185	YDL240W
2	2	1	PECH_007637	YBR291C
2	2	1	PECH_006520	YBR287W
2	2	1	PECH_003388	YDR002W
2	2	1	PECH_003265	YDR004W
2	2	1	PECH_000642	YDR013W
2	2	1	PECH_008298	YDR016C
2	2	1	PECH_003691	YDR017C
2	2	1	PECH_004507	YDR019C
2	2	1	PECH_006127	YDR021W
2	2	1	PECH_003461	YDR023W
2	2	1	PECH_007203	YDR032C
2	2	1	PECH_003730	YDR036C
2	2	1	PECH_004169	YDR037W
2	2	1	PECH_002633	YBR286W
2	2	1	PECH_004849	YDR044W
2	2	1	PECH_005018	YDR045C
2	2	1	PECH_004095	YDR047W
2	2	1	PECH_008645	YDR049W
2	2	1	PECH_003665	YDR050C
2	2	1	PECH_004647	YDR051C
2	2	1	PECH_005331	YDR054C
2	2	1	PECH_007725	YDR058C
2	2	1	PECH_004504	YDR060W
2	2	1	PECH_007357	YDR061W
2	2	1	PECH_006668	YDR062W
2	2	1	PECH_002855	YDR063W
2	2	1	PECH_000303	YDR064W
2	2	1	PECH_004596	YDR071C
2	2	1	PECH_007660	YDR074W
2	2	1	PECH_003430	YDR075W
2	2	1	PECH_007278	YDR079C-A
2	2	1	PECH_002953	YDR079W
2	2	1	PECH_000921	YDR084C
2	2	1	PECH_004257	YDR086C
2	2	1	PECH_004244	YDR088C
2	2	1	PECH_008450	YDR090C
2	2	1	PECH_004866	YDR091C
2	2	1	PECH_002696	YDR092W
2	2	1	PECH_008488	YBR281C
2	2	1	PECH_006192	YDR097C
2	2	1	PECH_006482	YBR276C
2	2	1	PECH_005988	YBR274W
2	2	1	PECH_002842	YDR100W
2	2	1	PECH_002154	YDR104C
2	2	1	PECH_004742	YDR105C
2	2	1	PECH_003928	YDR109C
2	2	1	PECH_008583	YDR116C
2	2	1	PECH_000561	YDR120C
2	2	1	PECH_005577	YDR122W
2	2	1	PECH_007960	YDR127W
2	2	1	PECH_002695	YDR128W
2	2	1	PECH_001857	YDR129C
2	2	1	PECH_001315	YDR132C
2	2	1	PECH_008646	YDR135C
2	2	1	PECH_004458	YDR140W
2	2	1	PECH_002582	YDR141C
2	2	1	PECH_006554	YDR142C
2	2	1	PECH_007632	YDR148C
2	2	1	PECH_000676	YDR152W
2	2	1	PECH_002525	YBR271W
2	2	1	PECH_004249	YDR158W
2	2	1	PECH_000675	YDR161W
2	2	1	PECH_003641	YDR164C
2	2	1	PECH_006504	YDR167W
2	2	1	PECH_007228	YDR168W
2	2	1	PECH_002639	YDR170C
2	2	1	PECH_001912	YDR172W
2	2	1	PECH_006506	YDR173C
2	2	1	PECH_005827	YDR176W
2	2	1	PECH_003874	YDR177W
2	2	1	PECH_003950	YDR182W
2	2	1	PECH_000069	YDR183W
2	2	1	PECH_008819	YDR188W
2	2	1	PECH_004344	YDR189W
2	2	1	PECH_008116	YDR190C
2	2	1	PECH_004900	YDR191W
2	2	1	PECH_006157	YDR196C
2	2	1	PECH_007565	YDR204W
2	2	1	PECH_002480	YDR208W
2	2	1	PECH_004454	YDR211W
2	2	1	PECH_000430	YDR212W
2	2	1	PECH_000622	YDR214W
2	2	1	PECH_008249	YDR226W
2	2	1	PECH_005521	YDR232W
2	2	1	PECH_001249	YDR234W
2	2	1	PECH_002991	YDR236C
2	2	1	PECH_003504	YDR237W
2	2	1	PECH_001636	YDR238C
2	2	1	PECH_002180	YDR242W
2	2	1	PECH_003126	YDR243C
2	2	1	PECH_001919	YDR244W
2	2	1	PECH_004403	YDR245W
2	2	1	PECH_005182	YDR246W
2	2	1	PECH_006833	YDR247W
2	2	1	PECH_000681	YDR248C
2	2	1	PECH_002735	YDR255C
2	2	1	PECH_003771	YDR256C
2	2	1	PECH_001669	YDR257C
2	2	1	PECH_005593	YDR258C
2	2	1	PECH_001930	YDR262W
2	2	1	PECH_005246	YDR264C
2	2	1	PECH_001064	YDR265W
2	2	1	PECH_007074	YDR267C
2	2	1	PECH_000333	YDR268W
2	2	1	PECH_007914	YDR270W
2	2	1	PECH_007874	YDR272W
2	2	1	PECH_001272	YDR276C
2	2	1	PECH_006309	YDR280W
2	2	1	PECH_007833	YDR282C
2	2	1	PECH_005510	YDR283C
2	2	1	PECH_004936	YDR284C
2	2	1	PECH_001866	YDR286C
2	2	1	PECH_000569	YDR287W
2	2	1	PECH_008212	YDR291W
2	2	1	PECH_002908	YDR292C
2	2	1	PECH_005599	YDR293C
2	2	1	PECH_000831	YDR294C
2	2	1	PECH_007411	YDR297W
2	2	1	PECH_004978	YDR298C
2	2	1	PECH_006849	YDR300C
2	2	1	PECH_004575	YDR305C
2	2	1	PECH_004751	YDR308C
2	2	1	PECH_000717	YDR311W
2	2	1	PECH_004970	YBR269C
2	2	1	PECH_001561	YDR316W
2	2	1	PECH_000747	YDR320C-A
2	2	1	PECH_006735	YDR322C-A
2	2	1	PECH_003732	YDR322W
2	2	1	PECH_004346	YDR323C
2	2	1	PECH_008367	YDR324C
2	2	1	PECH_006142	YDR325W
2	2	1	PECH_000104	YDR328C
2	2	1	PECH_001073	YDR330W
2	2	1	PECH_006552	YDR331W
2	2	1	PECH_001596	YDR332W
2	2	1	PECH_005974	YDR336W
2	2	1	PECH_005590	YBR265W
2	2	1	PECH_000575	YDR339C
2	2	1	PECH_008140	YDR341C
2	2	1	PECH_005262	YBR263W
2	2	1	PECH_006471	YDR346C
2	2	1	PECH_006666	YDR352W
2	2	1	PECH_008084	YBR261C
2	2	1	PECH_000690	YDR354W
2	2	1	PECH_003719	YDR361C
2	2	1	PECH_004872	YDR363W-A
2	2	1	PECH_008009	YDR364C
2	2	1	PECH_007675	YDR365C
2	2	1	PECH_007551	YBR260C
2	2	1	PECH_006118	YDR371W
2	2	1	PECH_005073	YDR372C
2	2	1	PECH_005562	YDR373W
2	2	1	PECH_005683	YDR375C
2	2	1	PECH_004954	YDR376W
2	2	1	PECH_007667	YDR377W
2	2	1	PECH_007224	YDR378C
2	2	1	PECH_006770	YDR379C-A
2	2	1	PECH_008283	YDR381W
2	2	1	PECH_003805	YBR257W
2	2	1	PECH_005031	YBR256C
2	2	1	PECH_005698	YDR386W
2	2	1	PECH_007258	YDR388W
2	2	1	PECH_006596	YDR390C
2	2	1	PECH_003978	YDR392W
2	2	1	PECH_008737	YDR394W
2	2	1	PECH_001295	YDR397C
2	2	1	PECH_002757	YDR400W
2	2	1	PECH_005738	YDR402C
2	2	1	PECH_003740	YDR403W
2	2	1	PECH_001924	YDR404C
2	2	1	PECH_007847	YBR254C
2	2	1	PECH_008218	YDR408C
2	2	1	PECH_001513	YDR410C
2	2	1	PECH_001063	YDR414C
2	2	1	PECH_002462	YDR415C
2	2	1	PECH_009035	YBR252W
2	2	1	PECH_003486	YDR419W
2	2	1	PECH_002749	YDR424C
2	2	1	PECH_001129	YDR427W
2	2	1	PECH_005097	YDR429C
2	2	1	PECH_002373	YDR430C
2	2	1	PECH_007942	YDR435C
2	2	1	PECH_003420	YDR440W
2	2	1	PECH_003035	YBR248C
2	2	1	PECH_000552	YBR247C
2	2	1	PECH_004534	YDR448W
2	2	1	PECH_002175	YDR449C
2	2	1	PECH_004626	YBR243C
2	2	1	PECH_007861	YDR452W
2	2	1	PECH_007061	YDR454C
2	2	1	PECH_005494	YDR456W
2	2	1	PECH_008122	YDR457W
2	2	1	PECH_001362	YDR460W
2	2	1	PECH_006282	YDR465C
2	2	1	PECH_005307	YDR468C
2	2	1	PECH_000361	YBR241C
2	2	1	PECH_003343	YDR472W
2	2	1	PECH_002352	YDR477W
