# Species	Genes	Alg.-Conn.	Pucsensis_2HH.fasta	Ncrassa_OR74A_v.12.fasta
2	2	1	PECH_000299	NCU00045
2	2	1	PECH_000300	NCU04164
2	2	1	PECH_000302	NCU03036
2	2	1	PECH_000303	NCU03038
2	2	1	PECH_000304	NCU03040
2	2	1	PECH_000305	NCU03039
2	2	1	PECH_000306	NCU00206
2	2	1	PECH_000307	NCU09026
2	2	1	PECH_000312	NCU03253
2	2	1	PECH_000313	NCU09845
2	2	1	PECH_000314	NCU06968
2	2	1	PECH_000315	NCU03045
2	2	1	PECH_000316	NCU08768
2	2	1	PECH_000317	NCU04180
2	2	1	PECH_000318	NCU04181
2	2	1	PECH_000319	NCU04182
2	2	1	PECH_000320	NCU06209
2	2	1	PECH_000321	NCU06210
2	2	1	PECH_000322	NCU06211
2	2	1	PECH_000323	NCU06212
2	2	1	PECH_000324	NCU06213
2	2	1	PECH_000325	NCU06214
2	2	1	PECH_000326	NCU06215
2	2	1	PECH_000328	NCU00117
2	2	1	PECH_000329	NCU00116
2	2	1	PECH_000330	NCU00115
2	2	1	PECH_000332	NCU00114
2	2	1	PECH_000333	NCU16657
2	2	1	PECH_000334	NCU00338
2	2	1	PECH_000335	NCU03816
2	2	1	PECH_000336	NCU06207
2	2	1	PECH_000337	NCU06205
2	2	1	PECH_000339	NCU04187
2	2	1	PECH_000340	NCU04176
2	2	1	PECH_000341	NCU04177
2	2	1	PECH_000342	NCU01178
2	2	1	PECH_000343	NCU01179
2	2	1	PECH_000346	NCU04185
2	2	1	PECH_000347	NCU04097
2	2	1	PECH_000348	NCU10185
2	2	1	PECH_000349	NCU04191
2	2	1	PECH_000350	NCU01190
2	2	1	PECH_000352	NCU01154
2	2	1	PECH_000354	NCU01157
2	2	1	PECH_000355	NCU11348
2	2	1	PECH_000356	NCU07246
2	2	1	PECH_000357	NCU07238
2	2	1	PECH_000358	NCU00717
2	2	1	PECH_000359	NCU01344
2	2	1	PECH_000360	NCU01004
2	2	1	PECH_000361	NCU07169
2	2	1	PECH_000362	NCU07172
2	2	1	PECH_000363	NCU04328
2	2	1	PECH_000364	NCU04327
2	2	1	PECH_000365	NCU00687
2	2	1	PECH_000367	NCU00569
2	2	1	PECH_000368	NCU00675
2	2	1	PECH_000369	NCU06530
2	2	1	PECH_000371	NCU00178
2	2	1	PECH_000372	NCU04775
2	2	1	PECH_000379	NCU09832
2	2	1	PECH_000381	NCU01395
2	2	1	PECH_000386	NCU01140
2	2	1	PECH_000389	NCU06694
2	2	1	PECH_000390	NCU06261
2	2	1	PECH_000391	NCU06503
2	2	1	PECH_000394	NCU03386
2	2	1	PECH_000395	NCU09809
2	2	1	PECH_000396	NCU06500
2	2	1	PECH_000397	NCU00467
2	2	1	PECH_000398	NCU06277
2	2	1	PECH_000399	NCU08386
2	2	1	PECH_000400	NCU00465
2	2	1	PECH_000401	NCU00466
2	2	1	PECH_000402	NCU00459
2	2	1	PECH_000404	NCU00458
2	2	1	PECH_000405	NCU00457
2	2	1	PECH_000156	NCU06617
2	2	1	PECH_000408	NCU00464
2	2	1	PECH_000409	NCU03846
2	2	1	PECH_000413	NCU06262
2	2	1	PECH_000416	NCU01243
2	2	1	PECH_000418	NCU01242
2	2	1	PECH_000419	NCU01143
2	2	1	PECH_000420	NCU06572
2	2	1	PECH_000421	NCU01146
2	2	1	PECH_000155	NCU05242
2	2	1	PECH_000424	NCU01249
2	2	1	PECH_000425	NCU01247
2	2	1	PECH_000426	NCU01246
2	2	1	PECH_000427	NCU06272
2	2	1	PECH_000428	NCU03668
2	2	1	PECH_000429	NCU01259
2	2	1	PECH_000430	NCU04448
2	2	1	PECH_000431	NCU04449
2	2	1	PECH_000434	NCU08026
2	2	1	PECH_000435	NCU08045
2	2	1	PECH_000436	NCU08825
2	2	1	PECH_000437	NCU04667
2	2	1	PECH_000438	NCU05801
2	2	1	PECH_000439	NCU04953
2	2	1	PECH_000440	NCU06307
2	2	1	PECH_000444	NCU08024
2	2	1	PECH_000446	NCU07895
2	2	1	PECH_000447	NCU06254
2	2	1	PECH_000448	NCU00091
2	2	1	PECH_000449	NCU00092
2	2	1	PECH_000450	NCU06250
2	2	1	PECH_000452	NCU06249
2	2	1	PECH_000453	NCU06257
2	2	1	PECH_000455	NCU07489
2	2	1	PECH_000456	NCU07497
2	2	1	PECH_000458	NCU02459
2	2	1	PECH_000153	NCU06355
2	2	1	PECH_000460	NCU00651
2	2	1	PECH_000463	NCU08357
2	2	1	PECH_000464	NCU03211
2	2	1	PECH_000466	NCU04452
2	2	1	PECH_000469	NCU06626
2	2	1	PECH_000470	NCU06601
2	2	1	PECH_000472	NCU07719
2	2	1	PECH_000473	NCU07716
2	2	1	PECH_000152	NCU06354
2	2	1	PECH_000475	NCU07717
2	2	1	PECH_000476	NCU07712
2	2	1	PECH_000478	NCU04426
2	2	1	PECH_000479	NCU04427
2	2	1	PECH_000480	NCU04428
2	2	1	PECH_000481	NCU08951
2	2	1	PECH_000483	NCU04266
2	2	1	PECH_000484	NCU06659
2	2	1	PECH_000486	NCU06658
2	2	1	PECH_000487	NCU06656
2	2	1	PECH_000151	NCU06353
2	2	1	PECH_000149	NCU05248
2	2	1	PECH_000494	NCU01328
2	2	1	PECH_000496	NCU10546
2	2	1	PECH_000499	NCU06493
2	2	1	PECH_000501	NCU00303
2	2	1	PECH_000502	NCU01427
2	2	1	PECH_000503	NCU06636
2	2	1	PECH_000505	NCU01401
2	2	1	PECH_000509	NCU06495
2	2	1	PECH_000510	NCU07334
2	2	1	PECH_000511	NCU01266
2	2	1	PECH_000518	NCU07906
2	2	1	PECH_000148	NCU04463
2	2	1	PECH_000525	NCU05776
2	2	1	PECH_000531	NCU00721
2	2	1	PECH_000532	NCU09738
2	2	1	PECH_000533	NCU08763
2	2	1	PECH_000537	NCU06054
2	2	1	PECH_000538	NCU06052
2	2	1	PECH_000540	NCU02325
2	2	1	PECH_000145	NCU05292
2	2	1	PECH_000544	NCU02173
2	2	1	PECH_000548	NCU02457
2	2	1	PECH_000549	NCU06049
2	2	1	PECH_000550	NCU06057
2	2	1	PECH_000552	NCU08323
2	2	1	PECH_000553	NCU06993
2	2	1	PECH_000554	NCU00660
2	2	1	PECH_000555	NCU00655
2	2	1	PECH_000556	NCU00665
2	2	1	PECH_000558	NCU03004
2	2	1	PECH_000560	NCU09972
2	2	1	PECH_000561	NCU06336
2	2	1	PECH_000562	NCU07308
2	2	1	PECH_000563	NCU07307
2	2	1	PECH_000564	NCU04363
2	2	1	PECH_000567	NCU06352
2	2	1	PECH_000568	NCU08324
2	2	1	PECH_000569	NCU06348
2	2	1	PECH_000570	NCU07691
2	2	1	PECH_000571	NCU06337
2	2	1	PECH_000572	NCU07010
2	2	1	PECH_000573	NCU07011
2	2	1	PECH_000574	NCU05253
2	2	1	PECH_000575	NCU04159
2	2	1	PECH_000584	NCU05036
2	2	1	PECH_000585	NCU08373
2	2	1	PECH_000587	NCU09333
2	2	1	PECH_000588	NCU11324
2	2	1	PECH_000592	NCU09311
2	2	1	PECH_000593	NCU09378
2	2	1	PECH_000594	NCU05994
2	2	1	PECH_000596	NCU00981
2	2	1	PECH_000597	NCU00978
2	2	1	PECH_000603	NCU07420
2	2	1	PECH_000604	NCU07419
2	2	1	PECH_000605	NCU03281
2	2	1	PECH_000606	NCU03289
2	2	1	PECH_000607	NCU07404
2	2	1	PECH_000610	NCU03500
2	2	1	PECH_000611	NCU06067
2	2	1	PECH_000612	NCU04540
2	2	1	PECH_000615	NCU05990
2	2	1	PECH_000617	NCU05988
2	2	1	PECH_000619	NCU05985
2	2	1	PECH_000620	NCU03460
2	2	1	PECH_000621	NCU03748
2	2	1	PECH_000622	NCU04087
2	2	1	PECH_000623	NCU04088
2	2	1	PECH_000626	NCU04797
2	2	1	PECH_000627	NCU03463
2	2	1	PECH_000631	NCU07301
2	2	1	PECH_000632	NCU07300
2	2	1	PECH_000633	NCU04050
2	2	1	PECH_000640	NCU02632
2	2	1	PECH_000642	NCU02631
2	2	1	PECH_000643	NCU09375
2	2	1	PECH_000644	NCU02745
2	2	1	PECH_000645	NCU07071
2	2	1	PECH_000646	NCU09388
2	2	1	PECH_000651	NCU02970
2	2	1	PECH_000653	NCU02973
2	2	1	PECH_000654	NCU02969
2	2	1	PECH_000655	NCU03925
2	2	1	PECH_000657	NCU03924
2	2	1	PECH_000658	NCU03898
2	2	1	PECH_000659	NCU03936
2	2	1	PECH_000660	NCU09812
2	2	1	PECH_000661	NCU09811
2	2	1	PECH_000662	NCU03065
2	2	1	PECH_000663	NCU05757
2	2	1	PECH_000664	NCU04753
2	2	1	PECH_000665	NCU04749
2	2	1	PECH_000666	NCU09222
2	2	1	PECH_000667	NCU04408
2	2	1	PECH_000668	NCU02753
2	2	1	PECH_000669	NCU02752
2	2	1	PECH_000670	NCU02757
2	2	1	PECH_000671	NCU02758
2	2	1	PECH_000672	NCU04509
2	2	1	PECH_000673	NCU04407
2	2	1	PECH_000674	NCU04737
2	2	1	PECH_000675	NCU09382
2	2	1	PECH_000676	NCU09381
2	2	1	PECH_000677	NCU05635
2	2	1	PECH_000678	NCU10477
2	2	1	PECH_000679	NCU05634
2	2	1	PECH_000680	NCU02743
2	2	1	PECH_000681	NCU02702
2	2	1	PECH_000682	NCU02704
2	2	1	PECH_000141	NCU06618
2	2	1	PECH_000685	NCU07325
2	2	1	PECH_000686	NCU08770
2	2	1	PECH_000688	NCU09135
2	2	1	PECH_000689	NCU04412
2	2	1	PECH_000690	NCU04411
2	2	1	PECH_000691	NCU04508
2	2	1	PECH_000692	NCU03204
2	2	1	PECH_000693	NCU06867
2	2	1	PECH_000694	NCU05984
2	2	1	PECH_000695	NCU07935
2	2	1	PECH_000696	NCU07936
2	2	1	PECH_000698	NCU07295
2	2	1	PECH_000699	NCU07296
2	2	1	PECH_000701	NCU07299
2	2	1	PECH_000702	NCU09139
2	2	1	PECH_000705	NCU07931
2	2	1	PECH_000706	NCU04505
2	2	1	PECH_000707	NCU04507
2	2	1	PECH_000708	NCU03205
2	2	1	PECH_000710	NCU03203
2	2	1	PECH_000712	NCU08361
2	2	1	PECH_000714	NCU04923
2	2	1	PECH_000715	NCU04924
2	2	1	PECH_000716	NCU03462
2	2	1	PECH_000717	NCU05423
2	2	1	PECH_000718	NCU03459
2	2	1	PECH_000719	NCU03461
2	2	1	PECH_000720	NCU05425
2	2	1	PECH_000721	NCU08452
2	2	1	PECH_000722	NCU06265
2	2	1	PECH_000723	NCU00916
2	2	1	PECH_000727	NCU06375
2	2	1	PECH_000728	NCU09202
2	2	1	PECH_000729	NCU11088
2	2	1	PECH_000730	NCU04362
2	2	1	PECH_000731	NCU09204
2	2	1	PECH_000732	NCU08272
2	2	1	PECH_000733	NCU00821
2	2	1	PECH_000734	NCU08271
2	2	1	PECH_000739	NCU08643
2	2	1	PECH_000740	NCU08973
2	2	1	PECH_000741	NCU08267
2	2	1	PECH_000744	NCU06397
2	2	1	PECH_000745	NCU06396
2	2	1	PECH_000746	NCU06395
2	2	1	PECH_000747	NCU10897
2	2	1	PECH_000748	NCU06394
2	2	1	PECH_000749	NCU06486
2	2	1	PECH_000754	NCU08276
2	2	1	PECH_000755	NCU01878
2	2	1	PECH_000759	NCU05046
2	2	1	PECH_000764	NCU03979
2	2	1	PECH_000769	NCU02482
2	2	1	PECH_000770	NCU09903
2	2	1	PECH_000771	NCU08054
2	2	1	PECH_000773	NCU10007
2	2	1	PECH_000779	NCU04537
2	2	1	PECH_000780	NCU01849
2	2	1	PECH_000785	NCU05850
2	2	1	PECH_000786	NCU07166
2	2	1	PECH_000787	NCU01284
2	2	1	PECH_000790	NCU09032
2	2	1	PECH_000796	NCU01409
2	2	1	PECH_000799	NCU07181
2	2	1	PECH_000800	NCU07182
2	2	1	PECH_000802	NCU10166
2	2	1	PECH_000803	NCU02109
2	2	1	PECH_000804	NCU05800
2	2	1	PECH_000806	NCU04571
2	2	1	PECH_000807	NCU05771
2	2	1	PECH_000808	NCU00768
2	2	1	PECH_000811	NCU05791
2	2	1	PECH_000812	NCU05796
2	2	1	PECH_000813	NCU05797
2	2	1	PECH_000814	NCU02091
2	2	1	PECH_000140	NCU05259
2	2	1	PECH_000822	NCU06447
2	2	1	PECH_000823	NCU06448
2	2	1	PECH_000824	NCU06390
2	2	1	PECH_000829	NCU03341
2	2	1	PECH_000830	NCU06786
2	2	1	PECH_000831	NCU06761
2	2	1	PECH_000832	NCU05526
2	2	1	PECH_000834	NCU06790
2	2	1	PECH_000836	NCU11222
2	2	1	PECH_000837	NCU08411
2	2	1	PECH_000139	NCU06918
2	2	1	PECH_000840	NCU03863
2	2	1	PECH_000844	NCU08370
2	2	1	PECH_000846	NCU03042
2	2	1	PECH_000848	NCU11259
2	2	1	PECH_000851	NCU04112
2	2	1	PECH_000852	NCU04421
2	2	1	PECH_000853	NCU06437
2	2	1	PECH_000855	NCU02028
2	2	1	PECH_000856	NCU08779
2	2	1	PECH_000138	NCU07678
2	2	1	PECH_000858	NCU06523
2	2	1	PECH_000137	NCU08806
2	2	1	PECH_000871	NCU03492
2	2	1	PECH_000872	NCU03491
2	2	1	PECH_000873	NCU03495
2	2	1	PECH_000874	NCU09192
2	2	1	PECH_000875	NCU06232
2	2	1	PECH_000135	NCU06764
2	2	1	PECH_000878	NCU00913
2	2	1	PECH_000879	NCU03847
2	2	1	PECH_000880	NCU06543
2	2	1	PECH_000881	NCU00237
2	2	1	PECH_000883	NCU03678
2	2	1	PECH_000885	NCU00154
2	2	1	PECH_000887	NCU00169
2	2	1	PECH_000890	NCU03188
2	2	1	PECH_000891	NCU00219
2	2	1	PECH_000892	NCU00218
2	2	1	PECH_000894	NCU11175
2	2	1	PECH_000898	NCU02278
2	2	1	PECH_000902	NCU03339
2	2	1	PECH_000903	NCU07107
2	2	1	PECH_000904	NCU09121
2	2	1	PECH_000905	NCU02531
2	2	1	PECH_000906	NCU02532
2	2	1	PECH_000907	NCU02533
2	2	1	PECH_000908	NCU02534
2	2	1	PECH_000909	NCU07472
2	2	1	PECH_000910	NCU16399
2	2	1	PECH_000911	NCU08378
2	2	1	PECH_000912	NCU06914
2	2	1	PECH_000913	NCU02536
2	2	1	PECH_000914	NCU03218
2	2	1	PECH_000915	NCU03219
2	2	1	PECH_000916	NCU03220
2	2	1	PECH_000917	NCU08352
2	2	1	PECH_000918	NCU09120
2	2	1	PECH_000919	NCU07417
2	2	1	PECH_000920	NCU07418
2	2	1	PECH_000921	NCU02733
2	2	1	PECH_000924	NCU04656
2	2	1	PECH_000134	NCU06763
2	2	1	PECH_000926	NCU04021
2	2	1	PECH_000929	NCU10009
2	2	1	PECH_000930	NCU09686
2	2	1	PECH_000931	NCU01387
2	2	1	PECH_000932	NCU01388
2	2	1	PECH_000933	NCU06695
2	2	1	PECH_000934	NCU00292
2	2	1	PECH_000935	NCU00052
2	2	1	PECH_000936	NCU16653
2	2	1	PECH_000937	NCU07826
2	2	1	PECH_000938	NCU08995
2	2	1	PECH_000939	NCU05683
2	2	1	PECH_000940	NCU02070
2	2	1	PECH_000131	NCU01494
2	2	1	PECH_000943	NCU16337
2	2	1	PECH_000945	NCU02056
2	2	1	PECH_000946	NCU07352
2	2	1	PECH_000949	NCU01001
2	2	1	PECH_000952	NCU02899
2	2	1	PECH_000130	NCU00261
2	2	1	PECH_000955	NCU06145
2	2	1	PECH_000956	NCU09251
2	2	1	PECH_000957	NCU03107
2	2	1	PECH_000958	NCU03108
2	2	1	PECH_000960	NCU02747
2	2	1	PECH_000963	NCU06099
2	2	1	PECH_000964	NCU09056
2	2	1	PECH_000965	NCU05901
2	2	1	PECH_000966	NCU06859
2	2	1	PECH_000968	NCU04612
2	2	1	PECH_000969	NCU04611
2	2	1	PECH_000970	NCU04610
2	2	1	PECH_000972	NCU04256
2	2	1	PECH_000973	NCU04009
2	2	1	PECH_000974	NCU03858
2	2	1	PECH_000975	NCU04273
2	2	1	PECH_000976	NCU04270
2	2	1	PECH_000977	NCU04272
2	2	1	PECH_000978	NCU09705
2	2	1	PECH_000980	NCU02356
2	2	1	PECH_000982	NCU10045
2	2	1	PECH_000983	NCU02998
2	2	1	PECH_000984	NCU17239
2	2	1	PECH_000120	NCU00707
2	2	1	PECH_000986	NCU08131
2	2	1	PECH_000987	NCU09486
2	2	1	PECH_000988	NCU05667
2	2	1	PECH_000992	NCU02282
2	2	1	PECH_000993	NCU02416
2	2	1	PECH_000994	NCU02417
2	2	1	PECH_001002	NCU06122
2	2	1	PECH_001003	NCU02263
2	2	1	PECH_001006	NCU04639
2	2	1	PECH_001010	NCU06697
2	2	1	PECH_001015	NCU09370
2	2	1	PECH_001017	NCU03782
2	2	1	PECH_001018	NCU06171
2	2	1	PECH_001020	NCU02826
2	2	1	PECH_001021	NCU02828
2	2	1	PECH_001022	NCU02811
2	2	1	PECH_001027	NCU00793
2	2	1	PECH_001029	NCU09694
2	2	1	PECH_001031	NCU02041
2	2	1	PECH_001032	NCU02813
2	2	1	PECH_001033	NCU02812
2	2	1	PECH_001039	NCU04728
2	2	1	PECH_001042	NCU05551
2	2	1	PECH_001043	NCU05548
2	2	1	PECH_001048	NCU05558
2	2	1	PECH_001050	NCU05607
2	2	1	PECH_001051	NCU05606
2	2	1	PECH_001052	NCU08505
2	2	1	PECH_001053	NCU05588
2	2	1	PECH_001054	NCU05594
2	2	1	PECH_001055	NCU05515
2	2	1	PECH_001056	NCU05564
2	2	1	PECH_001057	NCU07859
2	2	1	PECH_001058	NCU01205
2	2	1	PECH_001060	NCU01203
2	2	1	PECH_001061	NCU01202
2	2	1	PECH_001062	NCU04160
2	2	1	PECH_001063	NCU03278
2	2	1	PECH_001064	NCU03277
2	2	1	PECH_001066	NCU03766
2	2	1	PECH_001067	NCU00428
2	2	1	PECH_000119	NCU09347
2	2	1	PECH_001070	NCU09537
2	2	1	PECH_001072	NCU01813
2	2	1	PECH_001073	NCU00771
2	2	1	PECH_001074	NCU02776
2	2	1	PECH_001075	NCU07723
2	2	1	PECH_001080	NCU02796
2	2	1	PECH_001085	NCU11253
2	2	1	PECH_001089	NCU03605
2	2	1	PECH_001090	NCU09033
2	2	1	PECH_001091	NCU08120
2	2	1	PECH_001092	NCU08121
2	2	1	PECH_001094	NCU07509
2	2	1	PECH_001095	NCU07508
2	2	1	PECH_001096	NCU08115
2	2	1	PECH_001098	NCU05599
2	2	1	PECH_001099	NCU09320
2	2	1	PECH_001100	NCU00161
2	2	1	PECH_001102	NCU02299
2	2	1	PECH_001105	NCU02211
2	2	1	PECH_001106	NCU02791
2	2	1	PECH_001109	NCU00294
2	2	1	PECH_001111	NCU08340
2	2	1	PECH_001112	NCU05028
2	2	1	PECH_001113	NCU02391
2	2	1	PECH_001114	NCU02393
2	2	1	PECH_001115	NCU02395
2	2	1	PECH_001116	NCU02373
2	2	1	PECH_001117	NCU10387
2	2	1	PECH_001118	NCU06876
2	2	1	PECH_001119	NCU06877
2	2	1	PECH_001120	NCU06878
2	2	1	PECH_001121	NCU02375
2	2	1	PECH_001122	NCU03738
2	2	1	PECH_001124	NCU02378
2	2	1	PECH_000118	NCU01539
2	2	1	PECH_001128	NCU02368
2	2	1	PECH_001129	NCU02374
2	2	1	PECH_001130	NCU01922
2	2	1	PECH_001131	NCU07806
2	2	1	PECH_001133	NCU06743
2	2	1	PECH_001134	NCU06742
2	2	1	PECH_001135	NCU01651
2	2	1	PECH_001136	NCU09463
2	2	1	PECH_001137	NCU01650
2	2	1	PECH_001138	NCU06839
2	2	1	PECH_001142	NCU05129
2	2	1	PECH_001144	NCU06107
2	2	1	PECH_001145	NCU06108
2	2	1	PECH_001146	NCU04783
2	2	1	PECH_001147	NCU06880
